"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,139886959,144766201,15,45230370
2020,139891607,144766719,17,45230476
2020,139887827,144770659,1,45231434
2020,139893436,144771229,1,45230696
2020,139892477,144771234,14,45231576
2020,139892766,144771538,1,45231613
2020,139893790,144767893,14,45231618
2020,139898047,144768125,24,45231707
2020,139898146,144768232,14,45231736
2020,139898526,144772301,18,45231844
2020,139898526,144768614,18,45231845
2020,139898624,144772389,16,45230943
2020,139895098,144769191,3,45231023
2020,139899303,144773043,1,45231983
2020,139895429,144773171,4,45231097
2020,139895486,144773204,24,45232025
2020,139895486,144773205,24,45232026
2020,139896292,144775538,24,45231244
2020,142378127,147247524,5,46336449
2020,142378151,147250410,3,46336454
2020,142368660,147250420,15,46336457
2020,142378344,147247750,1,46336509
2020,142369544,147248801,1,46336814
2020,142369542,147251238,24,46324448
2020,142379844,147249001,16,46324493
2020,142379850,147249001,14,46336879
2020,142379820,147249001,16,46324481
2020,142380097,147249324,21,46336956
2020,142380097,147251597,16,46336957
2020,142369988,147251643,21,46324539
2020,142370229,147251887,1,46324621
2020,142380580,147251928,18,46324635
2020,142380595,147249844,24,46337110
2020,142370356,147252005,17,46324641
2020,142381530,147255721,1,46337330
2020,142381569,147255762,24,46337336
2020,142381563,147255762,24,46337334
2020,142381617,147255814,16,46337342
2020,142371106,147252714,5,46324800
2020,145971157,150991755,26,47984916
2020,145974014,150987778,3,47990325
2020,145974573,150988306,18,47985089
2020,145971857,150988306,18,47985088
2020,145974577,150988306,16,47985091
2020,145974600,150988326,3,47990445
2020,145974594,150992502,3,47990444
2020,145974594,150988326,25,47985095
2020,145974600,150992502,25,47985096
2020,145972076,150992667,3,47985137
2020,145974896,150992769,24,47985160
2020,145972699,150988994,1,47990608
2020,145972703,150988994,1,47985235
2020,145975425,150993328,1,47990627
2020,145972878,150989109,17,47985265
2020,145975466,150989109,17,47990636
2020,145972972,150986829,1,47984721
2020,145973069,150986917,21,47990104
2020,145970375,150991011,16,47984756
2020,145973160,150986991,17,47990121
2020,145973214,150991147,26,47984786
2020,145970594,150987072,9,47984803
2020,145970627,150987092,25,47984812
2020,145970627,150987096,24,47984813
2020,145970622,150987096,25,47990144
2020,145970622,150987092,24,47984811
2020,145973383,150991378,24,47990177
2020,145973594,150987407,21,47984894
2020,145973606,150991593,17,47990243
2020,145973706,150987517,11,47990258
2020,145973721,150987526,17,47984911
2020,145971184,150987627,24,47984925
2020,145973934,150991881,24,47990309
2020,145973946,150987721,24,47990312
2020,145973945,150987721,24,47984939
2020,145973948,150987721,24,47990313
2020,145973993,150987763,1,47990319
2020,145974000,150987767,15,47984945
2020,145971554,150992206,1,47990377
2020,145971627,150992275,14,47985024
2020,145974397,150988099,16,47985038
2020,145971694,150992346,7,47990399
2020,145974613,150992515,21,47990447
2020,145972004,150988449,24,47985116
2020,145974748,150992631,27,47990482
2020,145972233,150988654,16,47985175
2020,145975208,150988882,24,47985214
2020,145972614,150988934,3,47985230
2020,145972604,150993165,16,47985228
2020,145972698,150993246,24,47990607
2020,145975537,150993435,3,47990659
2020,145975541,150993434,27,47990661
2020,145977947,150989183,21,47990666
2020,145976297,150994229,3,47990815
2020,145976402,150989952,4,47990842
2020,145976410,150989952,4,47985491
2020,145976397,150989952,3,47990841
2020,145976480,150994409,27,47990849
2020,145976496,150994424,14,47985505
2020,145976526,150994476,24,47990856
2020,145978982,150994476,24,47985511
2020,145979091,150994584,24,47985528
2020,145976696,150995265,21,47985544
2020,145977085,150995677,14,47990961
2020,145977397,151000369,24,47985704
2020,145980052,151000508,16,47985724
2020,145977635,150996164,1,47991061
2020,145980382,150996364,16,47985797
2020,145977875,151000890,1,47991119
2020,145982923,150996454,1,47991133
2020,145983226,150996759,3,47991197
2020,145980901,150996804,5,47985893
2020,145981117,150996939,18,47985931
2020,145981300,150997097,27,47985955
2020,145984034,151002185,24,47986010
2020,145984239,150997698,16,47991338
2020,145176530,150038396,7,47600814
2020,145176934,150041980,17,47600891
2020,145177001,150042057,19,47600904
2020,145178725,150042057,17,47600905
2020,145177391,150039090,18,47601004
2020,145180091,150045022,16,47601339
2020,145183824,150045211,3,47606379
2020,145183823,150045211,16,47606378
2020,145184174,150045444,16,47606457
2020,145181248,150046130,21,47606644
2020,145181476,150050216,24,47603128
2020,145181605,150050359,17,47603174
2020,145181643,150046522,1,47606755
2020,145181837,150050644,18,47603233
2020,145186365,150051213,16,47606976
2020,145186365,150047236,16,47606974
2020,145188239,150052226,24,47603499
2020,145188396,150048199,18,47603521
2020,145188396,150048200,18,47603522
2020,145187835,150048424,5,47607198
2020,145193492,150053228,16,47607285
2020,145189138,150048935,1,47603622
2020,145193582,150053319,9,47607302
2020,145194288,150049553,9,47603724
2020,145190526,150054812,17,47603839
2020,145190938,150055591,3,47603900
2020,145190980,150055626,24,47603909
2020,145196231,150060757,3,47607714
2020,145196514,150061044,1,47607764
2020,139397702,144270902,3,45026735
2020,139397750,144269655,21,45023177
2020,139401581,144269798,14,45023208
2020,139582583,144457011,21,45086377
2020,139586697,144453328,16,45081330
2020,139588004,144457379,18,45086459
2020,139588258,144453968,24,45086535
2020,139588258,144453964,24,45091481
2020,139587414,144454028,3,45091492
2020,139593172,144458271,3,45091662
2020,139589117,144454923,8,45086697
2020,139589231,144458539,3,45086720
2020,139589392,144460203,21,45086752
2020,139594167,144460745,1,45091893
2020,139594952,144461558,17,45092020
2020,139595716,144465336,24,45092164
2020,139596277,144462876,24,45092266
2020,141287852,146159048,1,45842106
2020,141298301,146174065,5,45842213
2020,141298301,146159520,5,45842212
2020,141298477,146174193,3,45846611
2020,141294410,146174511,3,45846701
2020,141294436,146175065,5,45846706
2020,141298912,146174576,1,45842305
2020,141294521,146175151,18,45846726
2020,141299078,146174736,18,45842327
2020,141299077,146174736,24,45842326
2020,141299400,146175705,22,45842418
2020,141295235,146180184,16,45846900
2020,141295334,146180270,9,45846924
2020,141299625,146180270,9,45846928
2020,141295350,146180297,26,45842491
2020,141295437,146180377,5,45842508
2020,141299823,146176119,16,45842525
2020,141300211,146176465,1,45847055
2020,141295968,146176532,24,45842610
2020,141296173,146176717,16,45842645
2020,141296173,146176718,16,45842646
2020,141301455,146177843,24,45842841
2020,141301456,146177843,24,45842844
2020,141302429,146179095,18,45847543
2020,141303602,146179176,18,45843079
2020,141303748,146183180,24,45847587
2020,141307903,146179727,18,45843165
2020,141304202,146179727,24,45843166
2020,141307912,146179727,24,45843169
2020,141307915,146179727,18,45847662
2020,141307918,146179727,18,45843171
2020,141307908,146179727,24,45843168
2020,141304200,146179727,24,45843164
2020,141307945,146179783,3,45843176
2020,141305260,146184771,27,45843374
2020,141305505,146190151,24,45843438
2020,141305808,146186265,18,45843533
2020,141307178,146192544,9,45843946
2020,141307181,146192543,19,45848234
2020,141307178,146192545,24,45848231
2020,141307181,146192544,9,45848235
2020,141307180,146192545,24,45843948
2020,141307178,146192543,25,45843945
2020,141307180,146192543,9,45848233
2020,141307185,146192546,25,45848243
2020,141307185,146192545,19,45848242
2020,141307181,146192545,24,45848236
2020,141307185,146192543,9,45848239
2020,141307178,146192546,9,45848232
2020,141307185,146192544,9,45848241
2020,141307181,146192546,9,45848237
2020,141307180,146192546,9,45843949
2020,141307180,146192544,25,45843947
2020,145975497,150989131,17,47990646
2020,145975512,150993401,18,47985277
2020,145975788,150993656,8,47990717
2020,145978361,150989571,24,47985384
2020,145976218,150994135,16,47990796
2020,145978980,150995091,18,47985510
2020,145979410,150995456,27,47990908
2020,145979808,151000264,21,47990999
2020,145979840,151000298,3,47991006
2020,145977436,150995976,3,47991031
2020,145980061,151000518,24,47985726
2020,145977640,151000623,9,47991064
2020,145977773,150996292,3,47991084
2020,139331260,144201623,1,44988110
2020,139331940,144198826,18,44995701
2020,139332018,144198882,5,44988270
2020,139591293,144465557,1,45087113
2020,139591551,144462753,5,45087171
2020,139596598,144463205,1,45092316
2020,139596598,144466201,1,45092317
2020,139592518,144463838,3,45092401
2020,139597362,144466843,1,45092415
2020,139597824,144467202,1,45092498
2020,139587955,144453603,1,45091394
2020,139586987,144453603,3,45091393
2020,139587260,144457570,18,45091456
2020,139587257,144457570,18,45086517
2020,139593332,144458426,1,45091698
2020,139593542,144458633,16,45091739
2020,139589864,144459152,16,45086865
2020,139594738,144459488,3,45086906
2020,139595510,144462120,22,45092131
2020,139596033,144462614,24,45092223
2020,139591433,144462614,24,45087145
2020,139596650,144463244,21,45087261
2020,139596773,144466347,9,45087276
2020,139596804,144466370,3,45092341
2020,139592256,144466530,16,45092370
2020,139597388,144463954,27,45092426
2020,139597816,144464349,24,45092495
2020,139597817,144464349,24,45092496
2020,139602919,144464439,1,45092511
2020,139603066,144467404,19,45092538
2020,139598197,144464592,15,45087461
2020,139599190,144471054,24,45093018
2020,139599190,144471055,1,45093019
2020,139604665,144468459,3,45087761
2020,139599396,144471223,3,45087783
2020,139599566,144471376,3,45087811
2020,139599758,144471542,3,45093113
2020,139605249,144471584,24,45087850
2020,139605522,144469289,3,45087910
2020,139600154,144471883,21,45093168
2020,139600177,144469359,3,45087919
2020,139605612,144469382,18,45087927
2020,139600379,144469552,16,45087976
2020,139600395,144472096,24,45093223
2020,139600395,144469566,18,45087982
2020,139600395,144469565,24,45093224
2020,139600395,144472103,18,45087984
2020,139600395,144472101,24,45093225
2020,139600395,144472095,24,45093222
2020,139600395,144469564,18,45087981
2020,139600395,144472100,18,45087983
2020,139600395,144469562,18,45087980
2020,139600395,144472097,24,45087979
2020,139606024,144469833,1,45093263
2020,139606106,144469920,24,45093286
2020,139600929,144475126,1,45088094
2020,139601352,144475570,25,45088166
2020,139606681,144475570,3,45088163
2020,139601352,144475569,3,45088165
2020,139606681,144475569,25,45088162
2020,139606866,144473148,1,45093439
2020,139606870,144473156,21,45093442
2020,139606948,144475849,3,45093460
2020,139601664,144475860,16,45088225
2020,139607053,144473336,27,45093474
2020,139607083,144476000,1,45093492
2020,139607083,144475998,1,45093491
2020,139602174,144476407,24,45088311
2020,139602354,144473874,21,45093588
2020,139602380,144473894,8,45093593
2020,139602381,144473894,8,45088350
2020,139602429,144476663,3,45088364
2020,139602460,144476700,27,45093618
2020,139602492,144476733,3,45093625
2020,139607845,144474059,1,45093646
2020,139607845,144474061,1,45093647
2020,139607913,144476851,24,45088404
2020,139607923,144476869,16,45093658
2020,139608101,144477046,19,45093712
2020,139608250,144477199,24,45093754
2020,139608330,144474540,18,45093772
2020,139608402,144474612,16,45088517
2020,139608482,144474691,24,45093812
2020,139613294,144477513,24,45093823
2020,139613361,144477589,21,45088561
2020,139613497,144477722,18,45088581
2020,139608924,144477994,3,45088623
2020,139613909,144480221,17,45093922
2020,139609201,144480395,1,45093961
2020,139614120,144480434,16,45088684
2020,139609339,144480526,26,45088699
2020,139614210,144480526,24,45093993
2020,139614317,144478545,24,45088721
2020,139609503,144478613,18,45088732
2020,139609565,144480748,24,45094043
2020,139609568,144480748,24,45094045
2020,139609567,144480748,24,45094044
2020,139614564,144480843,18,45088776
2020,139614640,144480916,18,45088787
2020,139610258,144481406,3,45094175
2020,139615231,144481470,16,45088895
2020,139610531,144479708,18,45094216
2020,139610924,144482061,21,45088999
2020,139611052,144482185,19,45094314
2020,139611064,144485269,3,45094320
2020,139611064,144482193,25,45094321
2020,139611063,144482193,3,45094319
2020,139611063,144485269,25,45094318
2020,139616214,144485484,3,45094357
2020,139611489,144482566,3,45094391
2020,139616494,144485752,5,45094403
2020,139617287,144486513,18,45089281
2020,139617572,144483617,24,45094580
2020,139612567,144483624,24,45089320
2020,139617801,144483818,5,45089369
2020,139618088,144484100,3,45089424
2020,139618134,144484138,18,45089433
2020,139618128,144487348,16,45094688
2020,139618128,144484138,18,45094686
2020,139618134,144487348,16,45089434
2020,139623094,144484138,18,45094689
2020,139623094,144487348,16,45094690
2020,139618196,144487405,24,45094705
2020,139623148,144487405,24,45094707
2020,139623457,144484485,3,45089496
2020,139618571,144484565,21,45089524
2020,139623600,144484612,25,45094808
2020,139623598,144484609,25,45089535
2020,139623598,144484612,3,45094806
2020,139623600,144484609,3,45094807
2020,141293393,146159125,24,45842125
2020,141298159,146159375,3,45846555
2020,141298466,146159679,3,45842234
2020,141294123,146174249,1,45842250
2020,141294216,146174337,6,45846656
2020,141295280,146175900,3,45842463
2020,141295945,146180885,24,45847064
2020,141295978,146176534,26,45847067
2020,141301467,146182002,17,45842848
2020,141297313,146177898,17,45842858
2020,141301704,146182271,25,45847349
2020,141301704,146178127,3,45842909
2020,141301710,146182271,3,45842910
2020,141301710,146178127,25,45842913
2020,141301902,146182473,24,45842951
2020,141302484,146183069,18,45843077
2020,141302482,146183069,18,45843076
2020,141302479,146183069,18,45847552
2020,141303594,146183069,18,45843075
2020,141302477,146183069,18,45843074
2020,141302760,146183330,3,45843117
2020,141304074,146179637,14,45847637
2020,141308064,146179939,27,45847700
2020,141309324,146184885,3,45843393
2020,141310426,146190918,17,45847999
2020,139609557,144478684,24,45094039
2020,139614535,144480808,24,45088766
