"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,139235927,5
2020,139242159,5
2020,139236921,5
2020,139242189,5
2020,139244889,4
2020,139245361,4
2020,139250086,4
2020,139246024,4
2020,139251591,4
2020,139259233,5
2020,139276325,5
2020,139276972,4
2020,139277565,5
2020,139277740,5
2020,139281364,6
2020,139283906,4
2020,139284048,5
2020,139284301,5
2020,139282450,5
2020,139288037,5
2020,139288043,4
2020,139287377,5
2020,139294369,5
2020,139295084,4
2020,139295095,4
2020,139292409,5
2020,139292873,5
2020,139292874,5
2020,139295725,5
2020,139292859,5
2020,139295747,4
2020,139296204,5
2020,139302216,5
2020,139304808,4
2020,139304887,4
2020,139305921,5
2020,139308650,4
2020,139306521,4
2020,139306638,4
2020,139306839,4
2020,139309674,5
2020,139309676,5
2020,139307596,5
2020,139313143,4
2020,139339266,5
2020,139339561,4
2020,139339562,4
2020,139340237,5
2020,139340408,5
2020,139340748,5
2020,139340800,4
2020,139332716,4
2020,139332717,5
2020,139340809,5
2020,139340815,4
2020,139402018,4
2020,139402032,5
2020,139404781,4
2020,139404927,5
2020,139405242,5
2020,139408805,4
2020,139408807,4
2020,139405609,4
2020,143699451,5
2020,143699480,5
2020,143699485,5
2020,143699494,5
2020,143691296,5
2020,143699528,5
2020,143699527,5
2020,143691353,5
2020,143699643,5
2020,143699797,4
2020,143700147,5
2020,143700185,5
2020,143700200,5
2020,143700201,5
2020,143700406,4
2020,143700448,5
2020,143691987,5
2020,143691989,5
2020,143691992,4
2020,143691999,4
2020,143692290,4
2020,143692458,4
2020,143692518,5
2020,143701047,4
2020,143692608,4
2020,143692755,4
2020,143701202,4
2020,143692787,4
2020,143701350,5
2020,143701387,5
2020,143701473,5
2020,139237081,5
2020,139243049,4
2020,139237858,4
2020,139249393,5
2020,139245649,4
2020,139254009,4
2020,139254049,5
2020,139254047,5
2020,139254065,5
2020,146975586,5
2020,146975703,5
2020,146975736,5
2020,146975774,5
2020,146975920,4
2020,146975924,4
2020,146975927,5
2020,146975935,4
2020,146975958,4
2020,146975989,5
2020,146976086,4
2020,146976127,5
2020,146978199,4
2020,146976185,5
2020,146978222,4
2020,146978230,4
2020,146976221,4
2020,146978348,4
2020,146976452,6
2020,146978390,5
2020,146978396,4
2020,146978423,5
2020,146976576,6
2020,146978470,5
2020,146978478,5
2020,146976799,8
2020,146976792,5
2020,146978560,5
2020,146976854,5
2020,146976893,4
2020,146976895,5
2020,146976903,4
2020,146977086,4
2020,146977220,4
2020,146977301,5
2020,146978740,4
2020,146977663,4
2020,146977760,4
2020,146977834,5
2020,146982962,4
2020,146982955,4
2020,146978854,4
2020,146983148,5
2020,146983231,4
2020,146983284,4
2020,146983345,5
2020,146983503,4
2020,146983526,5
2020,146979075,4
2020,146983552,4
2020,146983565,5
2020,146983575,4
2020,146983602,5
2020,146983623,4
2020,146983659,6
2020,146983664,5
2020,146983662,4
2020,146983676,5
2020,146983682,5
2020,146983688,5
2020,146979141,4
2020,146983728,4
2020,146983796,5
2020,146983817,4
2020,146979201,5
2020,146979199,5
2020,146983859,4
2020,146979214,4
2020,146979233,4
2020,146983938,5
2020,146983940,5
2020,146983943,4
2020,146983982,4
2020,146983990,3
2020,146984011,4
2020,146984016,4
2020,146984080,4
2020,146984079,5
2020,146979337,4
2020,146984121,4
