"","combo","partner_crime","child_crime","stranger_crime","burglary_home_stranger","victim_male","victim_female","victim_unknown_sex","offender_male","offender_female","offender_unknown_sex","victim_minor","victim_adult","offender_minor","offender_adult"
"16644","ROBERTSON-TN-2018-11",92,88,97,0,165,171,2,325,151,77,30,305,30,305
"16645","ROBERTSON-TN-2018-12",72,71,63,0,133,176,3,341,157,47,20,291,20,291
"16646","ROBERTSON-TN-2018-2",80,69,85,0,140,168,0,354,184,44,18,288,18,288
"16647","ROBERTSON-TN-2018-3",67,60,102,0,137,198,5,390,217,52,38,298,38,298
"16648","ROBERTSON-TN-2018-4",78,72,77,0,170,144,1,370,164,73,24,291,24,291
"16649","ROBERTSON-TN-2018-5",80,86,94,0,178,245,0,403,141,112,45,375,45,375
"16650","ROBERTSON-TN-2018-6",74,76,79,0,167,161,0,333,160,107,19,308,19,308
"16651","ROBERTSON-TN-2018-7",86,67,90,0,167,201,0,404,196,80,25,343,25,343
"16652","ROBERTSON-TN-2018-8",62,43,50,0,193,162,0,373,193,88,24,330,24,330
"16653","ROBERTSON-TN-2018-9",64,62,92,0,165,163,0,357,168,79,37,289,37,289
"16654","ROBERTSON-TX-2018-1",1,0,0,0,4,13,0,15,7,4,0,17,0,17
"16655","ROBERTSON-TX-2018-10",1,0,0,0,13,3,1,6,0,4,1,15,1,15
"16656","ROBERTSON-TX-2018-11",2,1,2,0,14,18,4,32,3,1,2,28,2,28
"16657","ROBERTSON-TX-2018-12",4,2,2,0,22,13,2,28,1,2,0,21,0,21
"16658","ROBERTSON-TX-2018-2",2,1,1,0,11,6,0,4,0,2,1,14,1,14
"16659","ROBERTSON-TX-2018-3",2,0,0,0,7,2,0,6,4,2,0,9,0,9
"16660","ROBERTSON-TX-2018-4",0,0,0,0,4,1,0,0,0,3,0,3,0,3
"16661","ROBERTSON-TX-2018-5",2,0,2,0,4,4,0,15,3,1,0,7,0,7
"16662","ROBERTSON-TX-2018-6",6,4,4,0,11,7,1,12,1,1,1,17,1,17
"16663","ROBERTSON-TX-2018-7",2,0,0,0,5,1,0,2,1,2,0,6,0,6
"16664","ROBERTSON-TX-2018-8",2,2,2,0,7,6,0,8,0,0,0,13,0,13
"16665","ROBERTSON-TX-2018-9",1,0,0,0,2,2,0,3,2,1,0,4,0,4
"16666","ROCK-WI-2018-1",93,86,103,0,313,305,0,578,195,0,80,533,80,533
"16667","ROCK-WI-2018-10",123,118,182,0,310,372,0,505,296,1,110,567,110,567
"16668","ROCK-WI-2018-11",73,77,119,0,369,325,0,531,216,4,49,627,49,627
"16669","ROCK-WI-2018-12",102,98,108,2,351,365,2,590,188,0,42,662,42,662
"16670","ROCK-WI-2018-2",87,90,95,0,309,333,0,558,230,0,65,569,65,569
"16671","ROCK-WI-2018-3",55,72,108,0,532,485,0,805,321,0,81,914,81,914
"16672","ROCK-WI-2018-4",86,78,95,0,354,397,0,622,304,0,61,689,61,689
"16673","ROCK-WI-2018-5",81,80,147,0,346,377,0,482,208,0,108,613,108,613
"16674","ROCK-WI-2018-6",85,97,147,0,497,479,0,744,325,0,60,906,60,906
"16675","ROCK-WI-2018-7",96,101,141,0,421,481,4,622,296,2,112,780,112,780
"16676","ROCK-WI-2018-8",77,97,111,0,365,350,0,634,197,4,69,644,69,644
"16677","ROCK-WI-2018-9",66,83,203,0,445,393,0,655,285,4,87,743,87,743
"16678","ROCKBRIDGE-VA-2018-1",7,6,15,0,34,20,0,61,35,4,3,50,3,50
"16679","ROCKBRIDGE-VA-2018-10",9,4,4,0,20,16,2,45,18,1,3,31,3,31
"16680","ROCKBRIDGE-VA-2018-11",0,0,0,0,6,2,0,3,11,0,0,7,0,7
"16681","ROCKBRIDGE-VA-2018-12",1,1,1,0,10,10,0,54,25,5,0,18,0,18
"16682","ROCKBRIDGE-VA-2018-2",8,12,13,0,33,15,0,99,26,0,4,37,4,37
"16683","ROCKBRIDGE-VA-2018-3",5,2,4,0,17,16,0,59,20,0,1,31,1,31
"16684","ROCKBRIDGE-VA-2018-4",8,2,1,0,24,20,0,52,38,1,1,42,1,42
"16685","ROCKBRIDGE-VA-2018-5",10,5,4,0,22,35,1,86,43,1,3,51,3,51
"16686","ROCKBRIDGE-VA-2018-6",26,17,17,0,29,29,0,72,41,0,10,48,10,48
"16687","ROCKBRIDGE-VA-2018-7",20,16,16,0,28,29,0,81,47,0,2,53,2,53
"16688","ROCKBRIDGE-VA-2018-8",2,2,3,0,23,13,0,75,41,1,4,24,4,24
"16689","ROCKBRIDGE-VA-2018-9",8,6,6,0,22,30,1,58,17,3,2,43,2,43
"16690","ROCKCASTLE-KY-2018-1",1,7,1,0,9,5,3,24,9,0,2,11,2,11
"16691","ROCKCASTLE-KY-2018-10",3,12,3,0,15,14,0,44,25,0,1,25,1,25
"16692","ROCKCASTLE-KY-2018-11",0,0,1,0,4,3,0,14,19,0,0,7,0,7
"16693","ROCKCASTLE-KY-2018-12",0,0,0,0,1,5,0,14,8,0,0,5,0,5
"16694","ROCKCASTLE-KY-2018-2",0,1,1,0,11,3,1,31,9,0,0,14,0,14
"16695","ROCKCASTLE-KY-2018-3",2,6,4,0,20,7,0,34,20,0,0,23,0,23
"16696","ROCKCASTLE-KY-2018-4",1,2,1,0,10,6,0,39,9,0,0,15,0,15
"16697","ROCKCASTLE-KY-2018-5",3,3,3,0,14,8,0,27,24,0,0,19,0,19
"16698","ROCKCASTLE-KY-2018-6",1,3,1,0,6,6,0,16,11,0,2,8,2,8
"16699","ROCKCASTLE-KY-2018-7",1,5,5,0,19,10,0,27,5,0,0,23,0,23
"16700","ROCKCASTLE-KY-2018-8",1,3,0,0,7,9,0,27,18,0,0,11,0,11
"16701","ROCKCASTLE-KY-2018-9",3,9,0,0,43,33,8,107,17,0,0,50,0,50
"16702","ROCKINGHAM-NH-2018-1",93,127,137,0,380,397,0,698,298,3,76,685,76,685
"16703","ROCKINGHAM-NH-2018-10",86,134,157,0,420,363,3,602,233,4,99,676,99,676
"16704","ROCKINGHAM-NH-2018-11",62,102,132,0,341,328,2,541,193,1,105,564,105,564
"16705","ROCKINGHAM-NH-2018-12",87,122,121,2,364,334,0,562,235,5,75,620,75,620
"16706","ROCKINGHAM-NH-2018-2",75,155,107,0,287,352,2,625,253,2,95,541,95,541
"16707","ROCKINGHAM-NH-2018-3",99,144,153,0,348,318,1,646,260,6,83,577,83,577
"16708","ROCKINGHAM-NH-2018-4",84,152,110,0,398,342,8,633,247,1,114,614,114,614
"16709","ROCKINGHAM-NH-2018-5",114,205,185,0,486,442,3,703,367,3,148,771,148,771
"16710","ROCKINGHAM-NH-2018-6",102,145,156,0,480,459,1,705,257,4,91,837,91,837
