"","combo","partner_crime","child_crime","stranger_crime","burglary_home_stranger","victim_male","victim_female","victim_unknown_sex","offender_male","offender_female","offender_unknown_sex","victim_minor","victim_adult","offender_minor","offender_adult"
"1","ABBEVILLE-SC-2018-1",49,40,55,0,113,109,0,178,68,16,19,203,19,203
"2","ABBEVILLE-SC-2018-10",32,25,36,0,88,71,0,99,49,35,9,147,9,147
"3","ABBEVILLE-SC-2018-11",19,15,31,0,55,69,0,93,48,24,3,119,3,119
"4","ABBEVILLE-SC-2018-12",28,25,36,0,73,100,1,112,63,29,1,162,1,162
"5","ABBEVILLE-SC-2018-2",30,21,39,0,88,71,4,134,39,20,5,152,5,152
"6","ABBEVILLE-SC-2018-3",29,15,28,0,106,84,1,143,77,11,4,182,4,182
"7","ABBEVILLE-SC-2018-4",28,23,46,0,92,76,1,120,63,33,12,152,12,152
"8","ABBEVILLE-SC-2018-5",48,39,70,0,123,109,0,194,75,32,12,209,12,209
"9","ABBEVILLE-SC-2018-6",31,29,40,0,81,66,0,158,47,25,8,138,8,138
"10","ABBEVILLE-SC-2018-7",25,12,30,0,97,75,2,160,50,24,8,162,8,162
"11","ABBEVILLE-SC-2018-8",35,31,79,0,134,93,0,192,68,28,23,202,23,202
"12","ABBEVILLE-SC-2018-9",23,21,34,0,80,73,0,108,46,29,11,142,11,142
"13","ACADIA-LA-2018-1",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"14","ACADIA-LA-2018-11",0,0,1,0,4,1,0,1,5,0,0,1,0,1
"15","ACADIA-LA-2018-12",0,0,0,0,0,0,0,3,1,0,0,0,0,0
"16","ACADIA-LA-2018-2",1,0,0,0,7,1,0,11,0,0,0,5,0,5
"17","ACADIA-LA-2018-3",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"18","ACADIA-LA-2018-4",0,1,0,0,0,1,0,2,0,0,0,1,0,1
"19","ACADIA-LA-2018-6",0,0,0,0,0,0,0,2,1,0,0,0,0,0
"20","ACADIA-LA-2018-7",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"21","ACADIA-LA-2018-8",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"22","ACADIA-LA-2018-9",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23","ACCOMACK-VA-2018-1",29,28,36,0,40,51,6,95,21,6,10,79,10,79
"24","ACCOMACK-VA-2018-10",29,20,28,0,68,71,0,111,24,15,5,126,5,126
"25","ACCOMACK-VA-2018-11",50,46,68,0,73,124,0,176,50,8,35,159,35,159
"26","ACCOMACK-VA-2018-12",40,19,33,0,51,80,6,106,37,15,11,122,11,122
"27","ACCOMACK-VA-2018-2",19,18,26,0,35,39,2,70,10,3,10,62,10,62
"28","ACCOMACK-VA-2018-3",22,19,20,0,59,50,2,67,35,6,10,92,10,92
"29","ACCOMACK-VA-2018-4",23,10,25,0,45,81,2,96,26,6,3,113,3,113
"30","ACCOMACK-VA-2018-5",16,13,26,0,51,69,0,75,20,6,12,101,12,101
"31","ACCOMACK-VA-2018-6",17,9,20,0,61,61,1,80,32,8,5,106,5,106
"32","ACCOMACK-VA-2018-7",11,10,13,0,22,33,1,49,14,8,3,39,3,39
"33","ACCOMACK-VA-2018-8",20,10,17,0,40,56,1,73,23,21,2,77,2,77
"34","ACCOMACK-VA-2018-9",15,9,18,0,59,36,4,67,33,16,3,90,3,90
"35","ADA-ID-2018-1",297,278,380,0,798,725,20,1320,666,20,122,1364,122,1364
"36","ADA-ID-2018-10",288,273,361,0,810,792,16,1356,626,37,200,1372,200,1372
"37","ADA-ID-2018-11",204,195,247,1,630,694,4,1246,507,61,108,1190,108,1190
"38","ADA-ID-2018-12",171,186,226,0,756,680,14,1371,682,73,135,1240,135,1240
"39","ADA-ID-2018-2",214,180,258,4,727,661,35,1271,582,9,148,1225,148,1225
"40","ADA-ID-2018-3",285,254,346,0,896,717,10,1611,629,19,168,1433,168,1433
"41","ADA-ID-2018-4",234,231,320,0,674,727,27,1279,609,18,132,1280,132,1280
"42","ADA-ID-2018-5",272,246,352,0,736,704,9,1335,621,22,160,1262,160,1262
"43","ADA-ID-2018-6",260,226,320,0,709,670,18,1210,531,22,146,1231,146,1231
"44","ADA-ID-2018-7",280,246,348,0,860,802,20,1392,563,38,126,1515,126,1515
"45","ADA-ID-2018-8",269,218,337,1,922,777,30,1362,656,25,133,1554,133,1554
"46","ADA-ID-2018-9",220,199,300,1,1002,803,43,1327,739,62,125,1489,125,1489
"47","ADAIR-IA-2018-1",1,2,2,0,5,3,0,6,0,0,0,8,0,8
"48","ADAIR-IA-2018-10",0,0,0,0,2,1,0,1,0,1,0,3,0,3
"49","ADAIR-IA-2018-11",0,0,0,0,1,0,0,0,1,0,0,1,0,1
"50","ADAIR-IA-2018-2",0,1,0,0,1,4,0,6,0,2,0,5,0,5
"51","ADAIR-IA-2018-3",0,0,0,0,1,2,0,2,0,0,0,3,0,3
"52","ADAIR-IA-2018-4",1,1,1,0,4,2,0,7,4,0,0,6,0,6
"53","ADAIR-IA-2018-5",2,1,4,0,2,5,0,16,3,0,0,7,0,7
"54","ADAIR-IA-2018-6",0,0,0,0,4,1,0,4,1,1,0,5,0,5
"55","ADAIR-IA-2018-7",5,4,4,0,4,6,0,12,0,1,0,10,0,10
"56","ADAIR-IA-2018-8",1,0,0,0,1,2,0,10,0,0,0,3,0,3
"57","ADAIR-IA-2018-9",0,0,1,0,8,4,0,5,3,2,0,12,0,12
"58","ADAIR-KY-2018-1",0,0,0,0,1,0,0,0,1,0,0,1,0,1
"59","ADAIR-KY-2018-10",0,0,0,0,2,2,0,3,2,0,0,4,0,4
"60","ADAIR-KY-2018-11",1,3,1,0,1,1,2,4,0,0,0,2,0,2
"61","ADAIR-KY-2018-12",2,2,2,0,2,0,0,2,1,0,2,0,2,0
"62","ADAIR-KY-2018-2",0,0,0,0,2,0,0,0,0,0,0,2,0,2
"63","ADAIR-KY-2018-3",2,2,1,0,4,1,0,5,0,0,1,3,1,3
"64","ADAIR-KY-2018-4",0,0,0,0,1,1,0,11,1,0,0,2,0,2
"65","ADAIR-KY-2018-5",0,0,0,0,0,1,0,0,1,0,0,1,0,1
"66","ADAIR-KY-2018-6",2,2,3,0,8,0,0,5,5,0,0,5,0,5
"67","ADAIR-KY-2018-7",1,1,1,0,9,8,0,9,2,0,0,17,0,17
"68","ADAIR-KY-2018-8",0,2,0,0,8,0,0,7,1,0,0,6,0,6
"69","ADAIR-KY-2018-9",0,0,0,0,2,5,0,7,1,0,0,7,0,7
"70","ADAIR-OK-2018-1",19,18,12,0,37,31,6,66,28,0,2,70,2,70
"71","ADAIR-OK-2018-10",14,13,8,0,35,24,2,72,33,1,6,55,6,55
"72","ADAIR-OK-2018-11",4,12,12,0,26,27,4,77,19,3,2,55,2,55
"73","ADAIR-OK-2018-12",20,17,14,2,29,39,7,75,19,2,7,68,7,68
"74","ADAIR-OK-2018-2",11,15,9,0,26,24,10,53,16,0,4,55,4,55
"75","ADAIR-OK-2018-3",17,21,13,0,25,43,3,62,15,2,5,66,5,66
"76","ADAIR-OK-2018-4",20,37,28,0,30,49,19,67,47,7,14,84,14,84
"77","ADAIR-OK-2018-5",16,23,24,0,37,70,13,104,28,4,13,107,13,107
"78","ADAIR-OK-2018-6",13,17,13,0,40,59,10,84,31,8,4,105,4,105
"79","ADAIR-OK-2018-7",18,22,26,0,33,53,5,67,52,7,3,88,3,88
"80","ADAIR-OK-2018-8",12,21,18,0,33,39,11,89,25,2,5,78,5,78
"81","ADAIR-OK-2018-9",22,27,19,0,38,52,2,72,26,5,10,82,10,82
"82","ADAMS-CO-2018-1",305,306,290,2,1200,1068,27,1536,601,92,138,2101,138,2101
"83","ADAMS-CO-2018-10",297,260,309,0,1261,1035,32,1445,628,59,179,2097,179,2097
"84","ADAMS-CO-2018-11",247,247,250,0,1048,904,11,1408,552,20,126,1810,126,1810
"85","ADAMS-CO-2018-12",257,241,276,9,1023,957,19,1485,735,20,168,1780,168,1780
"86","ADAMS-CO-2018-2",223,236,267,0,966,833,10,1293,490,76,141,1608,141,1608
"87","ADAMS-CO-2018-3",271,275,286,0,1256,967,37,1651,664,85,175,1988,175,1988
"88","ADAMS-CO-2018-4",338,335,315,1,1086,1051,55,1515,709,111,131,1998,131,1998
"89","ADAMS-CO-2018-5",288,277,292,0,1247,1130,49,1515,908,116,194,2076,194,2076
"90","ADAMS-CO-2018-6",346,324,347,0,1124,970,75,1577,659,107,152,1923,152,1923
"91","ADAMS-CO-2018-7",335,317,317,12,1148,1092,22,1479,615,153,117,2096,117,2096
"92","ADAMS-CO-2018-8",328,326,325,0,1226,1018,64,1558,684,125,157,2065,157,2065
"93","ADAMS-CO-2018-9",334,355,384,5,1262,1021,53,1579,744,95,175,2078,175,2078
"94","ADAMS-IA-2018-1",0,0,0,0,4,1,0,2,0,1,0,5,0,5
"95","ADAMS-IA-2018-11",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"96","ADAMS-IA-2018-2",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"97","ADAMS-IA-2018-3",0,0,0,0,2,0,0,0,0,0,0,2,0,2
"98","ADAMS-IA-2018-4",1,1,1,0,0,1,0,1,1,0,0,1,0,1
"99","ADAMS-IA-2018-5",0,0,0,0,2,1,0,1,2,0,0,3,0,3
"100","ADAMS-IA-2018-6",1,0,0,0,1,1,0,6,3,0,0,2,0,2
"101","ADAMS-IA-2018-7",0,0,0,0,1,0,0,0,1,0,0,1,0,1
"102","ADAMS-IA-2018-8",0,0,0,0,0,2,0,2,0,0,0,2,0,2
"103","ADAMS-IA-2018-9",0,1,0,0,0,1,0,1,0,0,0,1,0,1
"104","ADAMS-ID-2018-1",0,2,0,0,0,3,0,18,5,0,2,1,2,1
"105","ADAMS-ID-2018-10",1,1,1,0,2,0,0,7,5,0,0,2,0,2
"106","ADAMS-ID-2018-11",1,3,1,0,6,1,1,7,4,3,3,5,3,5
"107","ADAMS-ID-2018-12",0,1,2,0,11,1,0,15,0,0,0,12,0,12
"108","ADAMS-ID-2018-2",2,4,3,0,0,5,0,21,6,1,2,3,2,3
"109","ADAMS-ID-2018-3",1,4,1,0,2,9,0,6,15,0,6,4,6,4
"110","ADAMS-ID-2018-4",3,3,3,0,4,2,0,15,13,0,3,3,3,3
"111","ADAMS-ID-2018-5",0,0,0,0,0,1,0,24,7,0,0,1,0,1
"112","ADAMS-ID-2018-6",5,3,3,0,2,4,0,11,10,0,0,6,0,6
"113","ADAMS-ID-2018-7",0,1,4,0,8,4,0,12,6,0,2,10,2,10
"114","ADAMS-ID-2018-8",6,8,5,0,8,5,0,25,9,0,4,9,4,9
"115","ADAMS-ID-2018-9",4,7,5,0,5,7,1,15,3,0,2,11,2,11
"116","ADAMS-IN-2018-10",1,1,2,0,0,2,0,4,0,0,1,1,1,1
"117","ADAMS-IN-2018-11",0,0,0,0,0,0,0,4,2,0,0,0,0,0
"118","ADAMS-IN-2018-12",3,3,3,0,0,4,0,3,0,1,2,2,2,2
"119","ADAMS-IN-2018-2",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"120","ADAMS-IN-2018-3",0,0,1,0,0,1,0,2,0,0,0,1,0,1
"121","ADAMS-IN-2018-4",0,0,0,0,0,1,0,2,0,0,1,0,1,0
"122","ADAMS-IN-2018-5",1,1,1,0,0,2,0,3,0,0,1,1,1,1
"123","ADAMS-IN-2018-6",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"124","ADAMS-IN-2018-7",0,0,0,0,0,1,0,1,3,0,0,1,0,1
"125","ADAMS-IN-2018-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","ADAMS-IN-2018-9",0,0,0,0,0,2,0,2,3,0,0,2,0,2
"127","ADAMS-NB-2018-1",15,17,25,0,87,76,0,130,37,0,14,149,14,149
"128","ADAMS-NB-2018-10",8,17,14,0,85,83,0,110,39,0,9,159,9,159
"129","ADAMS-NB-2018-11",11,19,36,0,86,72,0,162,61,0,25,131,25,131
"130","ADAMS-NB-2018-12",11,18,21,0,82,76,0,135,70,0,15,141,15,141
"131","ADAMS-NB-2018-2",13,15,36,0,78,61,0,124,51,0,18,119,18,119
"132","ADAMS-NB-2018-3",14,16,33,0,75,76,0,132,62,0,7,144,7,144
"133","ADAMS-NB-2018-4",19,17,41,0,97,94,0,157,55,0,17,173,17,173
"134","ADAMS-NB-2018-5",11,20,46,0,93,101,0,140,74,0,19,174,19,174
"135","ADAMS-NB-2018-6",23,18,35,0,88,82,0,123,33,0,13,157,13,157
"136","ADAMS-NB-2018-7",19,12,35,0,116,83,0,135,56,0,9,188,9,188
"137","ADAMS-NB-2018-8",21,8,51,0,93,83,0,108,79,0,12,164,12,164
"138","ADAMS-NB-2018-9",22,19,57,0,93,98,0,162,59,0,21,170,21,170
"139","ADAMS-ND-2018-1",0,0,0,0,1,0,0,0,0,0,0,1,0,1
"140","ADAMS-ND-2018-10",0,0,0,0,2,1,0,2,1,0,0,3,0,3
"141","ADAMS-ND-2018-11",4,4,7,0,3,5,0,8,0,0,6,2,6,2
"142","ADAMS-ND-2018-12",0,3,1,0,3,1,0,5,1,0,0,4,0,4
"143","ADAMS-ND-2018-2",0,1,2,0,3,2,0,0,3,0,0,5,0,5
"144","ADAMS-ND-2018-3",0,0,0,0,1,0,0,5,2,0,0,1,0,1
"145","ADAMS-ND-2018-4",0,0,4,0,2,4,0,0,4,0,4,2,4,2
"146","ADAMS-ND-2018-5",0,0,0,0,4,2,0,4,3,0,0,6,0,6
"147","ADAMS-ND-2018-6",0,1,0,0,4,3,0,8,0,0,0,7,0,7
"148","ADAMS-ND-2018-7",0,0,1,0,7,4,0,7,0,2,1,9,1,9
"149","ADAMS-ND-2018-8",1,1,1,0,14,8,0,8,0,0,0,22,0,22
"150","ADAMS-ND-2018-9",0,0,0,0,0,1,0,2,0,0,0,1,0,1
"151","ADAMS-OH-2018-1",4,10,5,0,42,34,1,29,34,18,8,69,8,69
"152","ADAMS-OH-2018-10",2,6,3,0,18,22,0,17,9,15,4,36,4,36
"153","ADAMS-OH-2018-11",4,7,8,0,34,23,1,16,15,24,5,53,5,53
"154","ADAMS-OH-2018-12",3,5,3,0,7,19,3,20,9,5,2,27,2,27
"155","ADAMS-OH-2018-2",4,11,3,0,20,22,1,30,8,10,7,36,7,36
"156","ADAMS-OH-2018-3",6,15,4,0,27,19,0,30,7,10,7,38,7,38
"157","ADAMS-OH-2018-4",3,5,1,0,14,14,0,18,6,7,2,26,2,26
"158","ADAMS-OH-2018-5",9,16,15,0,24,34,0,34,10,11,7,51,7,51
"159","ADAMS-OH-2018-6",4,17,6,0,33,27,0,28,12,14,0,60,0,60
"160","ADAMS-OH-2018-7",6,14,7,0,41,39,1,31,27,19,6,75,6,75
"161","ADAMS-OH-2018-8",7,16,5,0,22,24,3,31,10,10,0,49,0,49
"162","ADAMS-OH-2018-9",5,13,1,0,21,19,5,21,11,12,2,43,2,43
"163","ADAMS-PA-2018-1",1,1,11,0,23,6,0,20,8,0,1,28,1,28
"164","ADAMS-PA-2018-10",0,0,0,0,3,2,0,3,0,0,0,5,0,5
"165","ADAMS-PA-2018-11",0,2,5,0,2,6,0,7,7,0,1,7,1,7
"166","ADAMS-PA-2018-12",0,0,0,0,0,2,0,5,5,0,0,2,0,2
"167","ADAMS-PA-2018-2",2,1,1,0,5,4,0,9,3,0,3,5,3,5
"168","ADAMS-PA-2018-3",1,1,1,0,0,3,0,2,3,0,1,2,1,2
"169","ADAMS-PA-2018-4",0,1,0,0,1,4,0,4,0,0,1,4,1,4
"170","ADAMS-PA-2018-5",1,1,1,0,0,2,0,4,1,0,1,1,1,1
"171","ADAMS-PA-2018-6",1,0,4,0,7,8,0,8,0,0,4,11,4,11
"172","ADAMS-PA-2018-7",1,1,0,0,6,5,0,3,1,0,1,9,1,9
"173","ADAMS-PA-2018-8",1,1,2,0,3,1,0,2,2,0,1,3,1,3
"174","ADAMS-PA-2018-9",0,0,4,0,4,0,0,7,4,0,4,0,4,0
"175","ADAMS-WA-2018-1",3,7,7,0,62,43,0,64,23,0,11,94,11,94
"176","ADAMS-WA-2018-10",5,5,10,0,37,25,0,38,7,0,6,56,6,56
"177","ADAMS-WA-2018-11",2,2,5,0,30,26,0,30,3,0,9,47,9,47
"178","ADAMS-WA-2018-12",8,11,12,0,38,48,0,24,19,0,6,80,6,80
"179","ADAMS-WA-2018-2",9,17,16,0,37,46,0,54,10,0,11,72,11,72
"180","ADAMS-WA-2018-3",11,15,12,0,42,41,0,47,19,0,7,76,7,76
"181","ADAMS-WA-2018-4",5,10,5,0,47,31,0,41,14,0,7,71,7,71
"182","ADAMS-WA-2018-5",22,19,31,3,56,26,0,55,22,0,20,62,20,62
"183","ADAMS-WA-2018-6",17,20,25,0,61,51,0,59,34,0,16,96,16,96
"184","ADAMS-WA-2018-7",10,9,6,0,52,40,0,64,15,0,6,86,6,86
"185","ADAMS-WA-2018-8",9,7,7,0,50,42,0,56,4,0,5,87,5,87
"186","ADAMS-WA-2018-9",18,16,14,0,47,44,0,67,14,0,14,77,14,77
"187","ADAMS-WI-2018-1",2,2,2,0,4,5,0,6,3,0,2,7,2,7
"188","ADAMS-WI-2018-10",5,5,6,0,1,9,0,13,1,0,2,8,2,8
"189","ADAMS-WI-2018-11",0,0,0,0,4,1,0,5,3,0,0,5,0,5
"190","ADAMS-WI-2018-12",1,0,0,0,2,1,0,8,2,0,0,3,0,3
"191","ADAMS-WI-2018-2",0,0,4,0,8,1,0,7,3,0,0,9,0,9
"192","ADAMS-WI-2018-3",1,1,0,0,3,3,0,3,2,0,1,5,1,5
"193","ADAMS-WI-2018-4",0,0,0,0,3,3,0,5,0,0,2,4,2,4
"194","ADAMS-WI-2018-5",1,0,1,0,4,5,0,16,7,0,1,8,1,8
"195","ADAMS-WI-2018-6",1,0,1,0,6,5,0,5,9,0,2,9,2,9
"196","ADAMS-WI-2018-7",3,3,2,0,4,5,0,14,7,0,1,8,1,8
"197","ADAMS-WI-2018-8",1,1,1,0,7,2,0,6,6,0,2,7,2,7
"198","ADAMS-WI-2018-9",2,4,4,0,10,10,0,19,4,0,0,20,0,20
"199","ADDISON-VT-2018-1",8,8,8,0,4,18,0,8,10,0,1,21,1,21
"200","ADDISON-VT-2018-10",13,16,15,0,31,24,0,30,1,0,6,49,6,49
"201","ADDISON-VT-2018-11",2,3,4,0,17,17,0,8,6,0,1,33,1,33
"202","ADDISON-VT-2018-12",0,2,1,0,8,16,0,9,4,0,1,23,1,23
"203","ADDISON-VT-2018-2",9,10,8,0,18,18,0,21,11,0,7,29,7,29
"204","ADDISON-VT-2018-3",8,7,14,0,21,14,0,21,7,0,5,30,5,30
"205","ADDISON-VT-2018-4",3,0,6,0,17,8,0,12,8,0,0,25,0,25
"206","ADDISON-VT-2018-5",6,7,5,0,24,15,0,12,4,0,4,35,4,35
"207","ADDISON-VT-2018-6",4,9,4,0,35,22,0,26,17,0,0,57,0,57
"208","ADDISON-VT-2018-7",2,4,7,0,45,37,0,38,15,0,4,78,4,78
"209","ADDISON-VT-2018-8",14,11,21,0,42,31,0,31,14,0,7,66,7,66
"210","ADDISON-VT-2018-9",2,4,5,0,25,18,0,23,7,0,6,37,6,37
"211","AIKEN-SC-2018-1",113,98,148,0,345,370,25,457,181,284,57,647,57,647
"212","AIKEN-SC-2018-10",134,117,251,0,521,551,8,618,252,358,115,944,115,944
"213","AIKEN-SC-2018-11",109,91,175,0,547,428,9,610,221,313,90,876,90,876
"214","AIKEN-SC-2018-12",178,175,273,0,461,646,23,681,298,357,128,957,128,957
"215","AIKEN-SC-2018-2",140,136,175,0,476,433,14,554,202,281,89,791,89,791
"216","AIKEN-SC-2018-3",179,185,228,0,544,536,41,714,294,345,128,916,128,916
"217","AIKEN-SC-2018-4",127,120,169,0,452,547,4,648,213,337,108,867,108,867
"218","AIKEN-SC-2018-5",123,103,198,0,520,508,6,659,216,356,105,897,105,897
"219","AIKEN-SC-2018-6",122,113,133,0,471,507,12,631,218,323,87,830,87,830
"220","AIKEN-SC-2018-7",127,102,174,0,497,513,8,622,229,337,64,936,64,936
"221","AIKEN-SC-2018-8",145,140,184,0,471,543,8,592,210,361,91,901,91,901
"222","AIKEN-SC-2018-9",130,118,149,0,440,464,3,602,231,260,70,821,70,821
"223","ALAMOSA-CO-2018-1",8,18,7,0,45,55,0,91,36,2,9,91,9,91
"224","ALAMOSA-CO-2018-10",9,14,7,0,24,41,0,53,26,2,2,63,2,63
"225","ALAMOSA-CO-2018-11",14,27,14,0,40,47,0,86,48,0,5,82,5,82
"226","ALAMOSA-CO-2018-12",10,16,8,0,36,30,0,63,33,0,1,65,1,65
"227","ALAMOSA-CO-2018-2",9,22,5,0,61,60,0,98,32,9,10,111,10,111
"228","ALAMOSA-CO-2018-3",4,8,2,0,31,32,0,44,34,0,0,63,0,63
"229","ALAMOSA-CO-2018-4",3,19,6,0,44,54,0,87,31,1,10,88,10,88
"230","ALAMOSA-CO-2018-5",7,13,8,0,39,33,16,87,40,0,0,87,0,87
"231","ALAMOSA-CO-2018-6",9,19,14,0,32,58,0,61,62,0,2,88,2,88
"232","ALAMOSA-CO-2018-7",9,17,7,0,35,23,0,54,16,0,4,54,4,54
"233","ALAMOSA-CO-2018-8",11,21,10,0,40,50,2,111,46,1,14,78,14,78
"234","ALAMOSA-CO-2018-9",12,21,16,0,34,47,0,82,28,6,2,79,2,79
"235","ALBEMARLE-VA-2018-1",41,42,91,0,160,232,1,266,151,165,39,354,39,354
"236","ALBEMARLE-VA-2018-10",46,38,76,0,165,169,1,249,86,187,46,286,46,286
"237","ALBEMARLE-VA-2018-11",26,30,64,0,140,174,2,230,104,192,34,281,34,281
"238","ALBEMARLE-VA-2018-12",45,44,95,0,183,201,0,299,139,201,26,353,26,353
"239","ALBEMARLE-VA-2018-2",54,52,64,0,132,158,0,232,97,152,48,240,48,240
"240","ALBEMARLE-VA-2018-3",27,35,71,0,89,130,0,190,88,81,27,192,27,192
"241","ALBEMARLE-VA-2018-4",41,50,66,0,117,170,0,214,91,119,30,257,30,257
"242","ALBEMARLE-VA-2018-5",43,35,84,0,202,177,0,233,74,236,45,334,45,334
"243","ALBEMARLE-VA-2018-6",44,41,77,0,153,160,3,201,109,178,22,291,22,291
"244","ALBEMARLE-VA-2018-7",34,29,53,0,122,161,0,211,85,171,15,267,15,267
"245","ALBEMARLE-VA-2018-8",47,40,80,0,164,152,1,223,96,171,23,292,23,292
"246","ALBEMARLE-VA-2018-9",49,60,68,0,179,178,0,252,96,190,34,320,34,320
"247","ALCONA-MI-2018-1",0,2,3,0,7,6,0,6,2,1,0,13,0,13
"248","ALCONA-MI-2018-10",1,4,3,0,8,5,0,10,6,0,3,10,3,10
"249","ALCONA-MI-2018-11",3,5,3,0,4,8,0,13,2,0,1,10,1,10
"250","ALCONA-MI-2018-12",4,3,5,0,5,4,0,4,6,0,1,8,1,8
"251","ALCONA-MI-2018-2",1,3,0,0,8,7,0,8,4,0,2,13,2,13
"252","ALCONA-MI-2018-3",7,9,8,0,15,7,0,17,2,0,1,21,1,21
"253","ALCONA-MI-2018-4",6,6,6,0,10,8,0,7,6,0,3,15,3,15
"254","ALCONA-MI-2018-5",4,3,5,0,17,15,0,9,4,0,5,27,5,27
"255","ALCONA-MI-2018-6",0,0,1,0,9,8,0,7,4,0,1,16,1,16
"256","ALCONA-MI-2018-7",3,3,2,0,2,7,0,5,2,0,0,9,0,9
"257","ALCONA-MI-2018-8",1,2,1,0,7,4,0,7,3,0,0,11,0,11
"258","ALCONA-MI-2018-9",1,3,6,0,12,8,0,11,4,0,2,16,2,16
"259","ALEXANDRIA CITY-VA-2018-1",83,88,159,9,303,228,4,455,133,35,55,478,55,478
"260","ALEXANDRIA CITY-VA-2018-10",56,56,108,0,215,296,4,355,114,39,26,488,26,488
"261","ALEXANDRIA CITY-VA-2018-11",37,49,60,0,226,225,8,276,96,39,24,434,24,434
"262","ALEXANDRIA CITY-VA-2018-12",65,57,99,0,258,230,3,388,103,38,18,473,18,473
"263","ALEXANDRIA CITY-VA-2018-2",42,32,105,0,268,228,6,399,90,17,102,399,102,399
"264","ALEXANDRIA CITY-VA-2018-3",63,65,124,0,243,256,3,417,109,24,54,448,54,448
"265","ALEXANDRIA CITY-VA-2018-4",51,56,101,0,206,261,11,333,126,64,50,424,50,424
"266","ALEXANDRIA CITY-VA-2018-5",39,43,73,0,244,209,1,315,99,51,19,433,19,433
"267","ALEXANDRIA CITY-VA-2018-6",64,66,114,0,309,269,0,452,120,19,28,550,28,550
"268","ALEXANDRIA CITY-VA-2018-7",43,55,93,0,408,324,3,415,108,57,29,706,29,706
"269","ALEXANDRIA CITY-VA-2018-8",99,76,120,1,321,281,5,442,168,34,33,574,33,574
"270","ALEXANDRIA CITY-VA-2018-9",52,66,93,1,266,266,1,323,96,59,25,508,25,508
"271","ALFALFA-OK-2018-1",0,1,1,0,2,13,0,16,12,0,0,15,0,15
"272","ALFALFA-OK-2018-10",2,1,1,0,10,3,0,6,6,0,0,13,0,13
"273","ALFALFA-OK-2018-11",1,0,1,0,0,3,0,4,2,0,0,3,0,3
"274","ALFALFA-OK-2018-12",0,3,1,0,7,4,0,2,3,0,3,8,3,8
"275","ALFALFA-OK-2018-2",2,2,3,0,3,8,1,8,0,0,0,12,0,12
"276","ALFALFA-OK-2018-3",1,1,0,0,8,6,0,11,0,0,0,14,0,14
"277","ALFALFA-OK-2018-4",2,3,2,0,8,1,1,10,2,0,1,9,1,9
"278","ALFALFA-OK-2018-5",1,1,0,0,5,2,0,5,4,0,1,6,1,6
"279","ALFALFA-OK-2018-6",1,2,1,0,3,3,0,7,5,0,1,5,1,5
"280","ALFALFA-OK-2018-7",2,0,0,0,1,3,1,3,0,0,0,5,0,5
"281","ALFALFA-OK-2018-8",2,5,3,0,13,5,5,17,2,0,0,23,0,23
"282","ALFALFA-OK-2018-9",0,0,2,0,42,13,26,35,36,36,0,81,0,81
"283","ALGER-MI-2018-1",4,4,7,0,5,5,0,13,6,3,0,9,0,9
"284","ALGER-MI-2018-10",4,4,5,0,4,4,0,11,5,0,1,7,1,7
"285","ALGER-MI-2018-11",0,0,0,0,1,4,0,9,0,1,0,5,0,5
"286","ALGER-MI-2018-12",2,5,7,0,4,8,0,12,2,0,3,9,3,9
"287","ALGER-MI-2018-2",4,4,7,0,13,8,0,18,1,3,1,20,1,20
"288","ALGER-MI-2018-3",2,3,6,0,9,3,0,20,5,0,0,12,0,12
"289","ALGER-MI-2018-4",4,4,8,0,9,7,0,22,17,2,3,13,3,13
"290","ALGER-MI-2018-5",5,4,13,0,17,13,1,25,18,0,3,27,3,27
"291","ALGER-MI-2018-6",4,3,10,0,12,6,0,20,7,2,2,16,2,16
"292","ALGER-MI-2018-7",3,2,3,0,8,14,0,13,10,1,1,21,1,21
"293","ALGER-MI-2018-8",6,6,8,0,15,10,0,26,8,1,7,18,7,18
"294","ALGER-MI-2018-9",3,4,3,0,4,7,0,9,4,0,1,10,1,10
"295","ALLAMAKEE-IA-2018-11",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"296","ALLAMAKEE-IA-2018-2",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"297","ALLAMAKEE-IA-2018-5",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"298","ALLAMAKEE-IA-2018-9",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"299","ALLEGAN-MI-2018-1",107,134,164,0,255,315,4,538,191,62,66,503,66,503
"300","ALLEGAN-MI-2018-10",82,94,144,0,283,282,2,529,189,56,59,504,59,504
"301","ALLEGAN-MI-2018-11",79,106,115,0,225,285,4,443,145,101,67,442,67,442
"302","ALLEGAN-MI-2018-12",88,111,129,0,241,208,2,394,160,48,53,397,53,397
