"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,20,160119332,32955155
2020,18,160124114,32951586
2020,2,160119578,32955221
2020,12,160120012,32955281
2020,9,160120439,32956782
2020,2,160125426,32956817
2020,12,160125575,32956851
2020,10,160126080,32956940
2020,12,160126357,32955556
2020,12,160131225,32955564
2020,12,160126451,32955575
2020,12,160126598,32955620
2020,12,160131938,32957129
2020,10,160127648,32957198
2020,12,160132761,32957291
2020,12,160128899,32956021
2020,20,160133483,32957420
2020,12,160129170,32956090
2020,3,160129189,32956095
2020,4,160133726,32957507
2020,12,160129618,32956170
2020,12,160134245,32956200
2020,12,160129873,32957605
2020,12,160134261,32957604
2020,18,160129886,32956207
2020,12,160134661,32956263
2020,3,160134833,32957687
2020,9,160135001,32957716
2020,9,160135004,32957717
2020,12,162046101,33438111
2020,12,162047200,33442633
2020,12,162047199,33442632
2020,3,160123681,32951510
2020,12,160118987,32955077
2020,3,160123964,32955121
2020,20,160123993,32955130
2020,12,160124012,32951568
2020,18,160124012,32951569
2020,2,160119354,32951583
2020,2,160119363,32955162
2020,12,160124359,32955225
2020,12,160124371,32951637
2020,9,160124449,32951647
2020,12,160119680,32955231
2020,12,160124589,32951660
2020,4,160119866,32955250
2020,18,160119874,32955253
2020,12,160124736,32955255
2020,17,160124736,32951685
2020,12,160124792,32951693
2020,20,160124875,32955265
2020,9,160124988,32951727
2020,20,160120151,32955313
2020,3,160125043,32951737
2020,20,160120296,32955337
2020,12,160120304,32955339
2020,20,160120393,32956775
2020,12,160125351,32956801
2020,12,160120553,32955400
2020,12,160120551,32955397
2020,18,160125484,32956833
2020,12,160120893,32955481
2020,12,160126036,32955525
2020,5,160126340,32955551
2020,12,160131353,32956999
2020,19,160131380,32957004
2020,12,160131785,32957085
2020,12,160132085,32955783
2020,12,160127590,32955816
2020,12,160127593,32955817
2020,12,160127773,32957214
2020,9,160127899,32955856
2020,9,160132544,32957233
2020,9,160132706,32957278
2020,12,160128168,32957290
