"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39263566,1,39483958
2020,39254407,1,39474901
2020,39254408,1,39474902
2020,39264016,1,39484414
2020,39264616,1,39485119
2020,39264707,1,39485200
2020,39264245,1,39484651
2020,39264731,1,39485226
2020,39264284,1,39484686
2020,39264749,1,39485244
2020,39264922,1,39484870
2020,39264933,1,39484883
2020,39264934,1,39484884
2020,39264976,1,39485471
2020,39265150,1,39485643
2020,39270092,1,39486078
2020,39265885,1,39486380
2020,39266001,1,39490842
2020,39266322,1,39486811
2020,39263720,1,39474815
2020,39263811,1,39484205
2020,39264511,1,39484997
2020,39264008,1,39484402
2020,39264063,1,39485112
2020,39264651,1,39484601
2020,39264364,1,39485318
2020,39264819,1,39484763
2020,39265125,1,39485622
2020,39265129,1,39485625
2020,39270376,1,39486404
2020,39265931,1,39486430
2020,39265933,1,39486432
2020,39266084,1,39486582
2020,39270505,1,39490911
2020,39266102,1,39486596
2020,39266103,1,39486597
2020,39266166,1,39486658
2020,39286564,7,39507198
2020,39286591,1,39507228
2020,39286595,7,39507238
2020,39283521,1,39503826
2020,39286677,1,39503861
2020,39283571,7,39503869
2020,39286690,1,39503873
2020,39286707,1,39507345
2020,39286750,1,39507394
2020,39286768,1,39507408
2020,39283631,1,39503927
2020,39283638,1,39507422
2020,39283645,1,39503935
2020,39283669,1,39507454
2020,39286830,1,39503977
2020,39283695,1,39507487
2020,39283698,1,39503982
2020,39283720,1,39503997
2020,39286850,1,39507509
2020,39283713,1,39507512
2020,39283726,1,39507530
2020,39286944,1,39507607
2020,39286943,1,39507605
2020,39286985,1,39507651
2020,39286988,1,39507659
2020,39286989,1,39507661
2020,39286993,1,39507660
2020,39283863,1,39507677
2020,39287042,1,39504153
2020,39287046,1,39507719
2020,39283914,1,39507760
2020,39283945,1,39504198
2020,39287121,1,39507800
2020,39287133,1,39507809
2020,39283967,1,39504234
2020,39287153,1,39507826
2020,39287152,1,39507824
2020,39283969,1,39507827
2020,39287168,1,39507843
2020,39287178,1,39507853
2020,39287201,1,39507885
2020,39287216,1,39504275
2020,39284045,1,39507921
2020,39287245,1,39507924
2020,39284052,1,39504312
2020,39284067,1,39507949
2020,39284080,1,39507964
2020,39284087,1,39504345
2020,39287310,1,39507988
2020,39287308,1,39504356
2020,39287346,1,39504381
2020,39287342,1,39504378
2020,39287349,1,39508030
2020,39287354,1,39508034
2020,39284131,1,39508041
2020,39287376,1,39508057
2020,39287403,1,39508083
2020,39284152,1,39508088
2020,39287443,1,39504437
2020,39287470,1,39508136
2020,39287482,1,39508153
2020,39287534,1,39508212
2020,39287556,1,39508237
2020,39287557,1,39508235
2020,39284262,1,39504525
2020,39284278,1,39504542
2020,39284277,1,39504541
2020,39284286,1,39504547
2020,39287589,1,39508269
2020,39287591,1,39504549
2020,39287605,22,39508284
2020,39287637,1,39508323
2020,39284312,1,39504569
2020,39287658,1,39508339
2020,39287696,1,39504592
2020,39287708,1,39508389
2020,39287793,7,39508466
2020,39287820,1,39508491
2020,39284437,1,39504704
2020,39287827,1,39508503
2020,39284477,1,39504751
2020,39209257,1,39434736
2020,39214543,1,39440028
2020,39214618,1,39440116
2020,39210165,1,39438931
2020,39214935,1,39440440
2020,39210295,1,39439056
2020,39215006,1,39440529
2020,39215023,1,39440555
2020,39210476,1,39439222
2020,39210628,1,39439387
2020,39215365,7,39440873
2020,39215488,1,39440993
2020,39210828,1,39439593
2020,39216284,1,39441815
2020,39216282,1,39441813
2020,39216377,1,39441917
2020,39216375,1,39441916
2020,39216818,1,39442361
2020,39212270,1,39446021
2020,39212406,1,39446156
2020,39212413,1,39446160
2020,39217469,7,39442994
2020,39217751,1,39443269
2020,39212691,1,39446451
2020,39217978,1,39446660
2020,39218053,1,39443574
2020,39218496,1,39444022
2020,39218502,1,39444026
2020,39218907,1,39444428
2020,39219106,1,39447671
2020,39219129,1,39447690
2020,39219125,1,39447689
2020,39219187,8,39444696
2020,39219330,1,39447863
2020,39204425,1,39438195
2020,39203653,1,39437427
2020,39207812,1,39433288
2020,39278969,1,39499565
2020,39281055,1,39501393
2020,39281056,1,39501394
2020,39279163,1,39501426
2020,39279361,1,39504962
2020,39281329,1,39505094
2020,39284515,1,39505124
2020,39284584,1,39505192
2020,39284615,1,39505221
2020,39284663,1,39505266
2020,39284665,1,39505269
2020,39220759,1,39451250
2020,39225609,1,39451253
2020,39225618,1,39449416
2020,39220770,1,39451261
2020,39225644,1,39451271
2020,39220800,1,39451292
2020,39225713,1,39449514
2020,39220877,1,39449532
2020,39225795,1,39451427
2020,39225805,1,39449606
2020,39220951,1,39451439
2020,39225808,1,39449611
2020,39220978,1,39451461
2020,39220985,1,39449629
2020,39220992,1,39451472
2020,39221007,1,39449649
2020,39225844,1,39451498
2020,39221049,1,39451524
2020,39225864,1,39449678
2020,39225866,1,39451526
2020,39225875,1,39449687
2020,39221117,1,39449737
2020,39221163,1,39451630
2020,39221217,1,39451680
2020,39226011,1,39449841
2020,39226019,1,39449849
2020,39221280,1,39451739
2020,39226057,1,39449891
2020,39226062,7,39451758
2020,39221322,1,39449913
2020,39221361,1,39451815
2020,39228960,1,39457803
2020,39213987,1,39447764
2020,39219196,1,39444703
2020,39219271,1,39444772
