"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,9,153588007
2020,9,153588090
2020,9,153588209
2020,1,153591413
2020,6,153591413
2020,6,153591414
2020,9,153591539
2020,6,153588522
2020,5,153591881
2020,6,153592005
2020,6,153592007
2020,9,153592066
2020,6,153592117
2020,9,153592123
2020,6,153592181
2020,6,153588792
2020,9,153588816
2020,9,153588937
2020,6,153592581
2020,9,153592624
2020,6,153592739
2020,9,153589254
2020,9,153589486
2020,6,153593171
2020,6,153593172
2020,9,153589793
2020,9,153589807
2020,6,153589816
2020,9,153589838
2020,6,153593541
2020,9,153593759
2020,7,153593918
2020,1,153590157
2020,6,153590157
2020,6,153594143
2020,6,153594687
2020,9,153590810
2020,9,153594887
2020,9,153594974
2020,6,153596629
2020,6,153595689
2020,6,153595690
2020,9,153601910
2020,9,153601991
2020,6,153598178
2020,6,153603031
2020,9,153603029
2020,9,153603158
2020,9,153603357
2020,6,153604146
2020,9,153600084
2020,6,153600410
2020,6,153605118
2020,9,153606348
2020,9,153605661
2020,9,153605801
2020,6,153611704
2020,9,153611717
2020,1,153608095
2020,9,153612685
2020,6,153612836
2020,9,153576563
2020,9,153576594
2020,6,153576724
2020,9,153572884
2020,9,153577741
2020,9,153578179
2020,9,153575305
2020,9,153578625
2020,9,153578926
2020,14,153575866
2020,9,153579286
2020,9,153582216
2020,9,153582517
2020,8,153582551
2020,6,153580464
2020,9,153580804
2020,9,153580845
2020,3,153583328
2020,9,153583748
2020,9,153586333
2020,6,157059363
2020,6,157065680
2020,1,153358369
2020,9,153358424
2020,9,153363614
2020,9,153363951
2020,9,153365486
2020,9,153360134
2020,9,153360237
2020,9,153365903
2020,6,153366281
2020,6,153366521
2020,9,157064209
2020,3,157059439
2020,9,157064316
2020,9,153377258
2020,6,153375911
2020,1,153378547
2020,6,153387537
2020,6,153391295
2020,6,153388102
2020,6,153388517
2020,9,153393022
2020,3,153393373
2020,6,153390120
2020,8,153393413
2020,6,153390179
2020,8,153394115
2020,6,157064376
2020,6,157064374
2020,6,157064435
2020,6,157064563
2020,6,157064612
2020,3,157064612
2020,9,157059707
2020,9,153983842
2020,9,153983841
2020,9,153983994
2020,6,153986526
2020,6,153984101
2020,6,153984176
2020,9,153984524
2020,9,157059888
2020,9,153987457
2020,9,153987577
2020,6,153987653
2020,9,153987693
2020,9,153987707
2020,9,153987714
2020,9,153985194
2020,9,153988078
2020,6,153988096
2020,6,153988167
2020,6,153985566
2020,1,153988204
2020,6,153988225
2020,6,153988439
2020,6,153985753
2020,9,153988592
2020,9,153988631
2020,9,153986032
2020,9,153988762
2020,12,153989211
2020,1,153991708
2020,9,153991831
2020,9,157065127
2020,6,157065279
2020,9,153992244
2020,8,153989973
2020,1,153990580
2020,9,153993040
2020,9,157060106
2020,6,153991046
2020,8,153996274
2020,1,157065387
2020,6,157065490
2020,9,157060272
2020,9,157060312
2020,3,157060466
2020,6,157066037
2020,6,157066038
2020,6,157066153
2020,3,157066150
2020,10,157060701
2020,6,157066396
2020,6,157060718
2020,14,157066530
2020,6,157066555
2020,6,157066697
2020,6,157066741
2020,2,157071188
2020,2,157071192
2020,9,157071221
2020,9,157067216
2020,8,157067306
2020,9,157071263
2020,9,157071394
2020,9,157071574
2020,9,157071585
2020,9,157071584
2020,9,157071590
2020,9,157071591
2020,8,157071617
2020,9,157071703
2020,9,157071828
2020,9,157071840
2020,4,157068131
2020,9,157068219
2020,9,157072241
2020,9,157072536
2020,9,157069087
2020,9,157069196
2020,1,157072695
2020,1,157072905
2020,6,157069615
2020,9,157073086
2020,9,157073113
2020,9,157069804
2020,9,157069835
2020,9,157073197
2020,9,157069960
2020,8,157070220
2020,9,157073519
2020,8,157073521
2020,6,157070397
2020,6,157070492
2020,9,157073644
2020,6,157070654
2020,9,157073930
2020,9,157076662
2020,9,157074196
2020,9,157074261
2020,9,157077073
2020,9,157077074
2020,6,153588243
2020,9,153591998
2020,9,153592157
2020,6,153592384
2020,6,153592385
2020,6,153592463
2020,6,153592565
2020,6,153592694
2020,6,153593435
2020,7,153593570
2020,8,153593679
2020,6,153593678
2020,9,153590047
2020,6,153593745
2020,3,153590095
2020,8,153593833
2020,6,153593833
2020,6,153593860
2020,6,153593916
2020,1,153593912
2020,6,153593912
2020,9,153590173
2020,5,153594099
2020,9,153594595
2020,6,153594676
2020,6,153590857
2020,9,153595101
2020,9,153595095
2020,6,153595084
2020,6,153591020
2020,6,153596325
2020,9,153596347
2020,9,153596349
2020,9,153596452
2020,9,153595664
2020,9,153596650
2020,9,153596734
2020,9,153596892
2020,6,153601551
2020,9,153601623
2020,9,153601846
2020,9,153601896
2020,9,153597880
2020,6,153597896
2020,6,153597898
2020,2,153602337
2020,6,153602349
2020,1,153603349
2020,9,153603571
2020,6,153604291
2020,9,153604898
2020,9,153600868
2020,3,153601030
2020,6,153606188
2020,6,153605210
2020,6,153605658
2020,6,153606989
2020,6,153607265
2020,3,153607338
2020,9,153612062
2020,6,153608210
2020,6,153612138
2020,9,153608810
2020,9,153608818
2020,9,153613082
2020,6,153613189
2020,6,153613378
2020,9,153613709
2020,6,153609860
2020,9,153610026
2020,9,153610051
2020,6,153494959
2020,9,153497012
2020,12,153495420
2020,9,153497414
2020,1,153495673
2020,6,153495732
2020,6,153498294
2020,9,153502190
2020,9,153503181
2020,9,153505210
2020,6,153506776
2020,9,153506055
2020,9,155405513
2020,9,155394091
2020,9,155394143
2020,9,155394262
2020,3,155406212
2020,6,155394417
2020,9,155394479
2020,9,155406352
2020,6,155394634
2020,9,155394757
2020,9,155407061
2020,9,155407446
2020,6,155395829
2020,9,155395901
2020,6,155407557
2020,8,155407590
2020,1,155407666
2020,6,155407666
2020,9,155407857
2020,9,155411384
2020,6,155407974
2020,1,155407996
2020,6,155407996
2020,1,155411448
2020,6,155411448
2020,9,155411450
2020,6,155411449
2020,6,155411702
2020,9,155408317
2020,5,155411795
2020,6,155411792
2020,1,155408558
2020,9,155412387
2020,9,155409105
2020,6,155409525
2020,9,155414705
2020,9,155410593
2020,6,155415203
2020,9,155411102
2020,6,155415413
2020,3,155416315
2020,6,155416315
2020,6,155415623
2020,9,155416345
2020,9,155415658
2020,6,155415686
2020,6,155416909
2020,9,155421347
2020,9,155417747
2020,6,155418694
2020,6,155418848
2020,9,153353493
2020,9,153355299
2020,1,153351016
2020,9,153356078
2020,6,153356321
2020,1,153588017
2020,6,153588232
2020,3,153591468
2020,1,153591897
2020,9,153592125
2020,9,153588783
2020,6,153592302
2020,9,153592623
2020,6,153589003
2020,9,153589058
2020,9,153589135
2020,9,153593081
2020,9,153593185
2020,6,153589606
2020,1,153589608
2020,6,153589608
2020,3,153589608
2020,6,153589627
2020,6,153589655
2020,6,153593299
2020,9,153589678
2020,6,153589729
2020,9,153593469
2020,6,153593481
2020,9,153593531
2020,8,153593631
2020,9,153593646
2020,1,153593704
2020,1,153594015
2020,6,153594015
2020,6,153594016
2020,9,153594250
2020,9,153594460
2020,9,153594901
2020,9,153594916
2020,6,153595008
2020,6,153591128
2020,6,153596377
2020,6,153595447
2020,3,153595447
2020,6,153595445
2020,6,153595514
2020,9,153596916
2020,9,153602261
2020,6,153602278
2020,6,153598208
2020,9,153598251
2020,9,153602640
2020,6,153598552
2020,9,153598581
2020,9,153602745
2020,6,153598679
2020,8,153598713
2020,9,153602931
2020,6,153599083
2020,9,153603257
2020,9,153603256
2020,9,153603290
2020,6,153599275
2020,6,153603596
2020,6,153603620
2020,10,153599461
2020,3,153599543
2020,7,153600665
2020,7,153600800
2020,9,153604867
2020,6,153606651
2020,9,153606917
2020,9,153606093
2020,9,153611707
2020,6,153611709
2020,9,153607924
2020,3,153607988
2020,9,153608141
2020,9,153608169
2020,6,153612288
2020,6,153608491
2020,8,153608491
2020,6,153612383
2020,6,153608587
2020,6,153608699
2020,11,153608966
2020,9,153350478
2020,8,153350828
2020,1,153350888
2020,9,153355740
2020,9,153356300
2020,9,153356374
2020,9,153362669
2020,1,153363521
2020,1,153358490
2020,6,153358723
2020,6,153364702
2020,3,153365305
2020,5,153365305
2020,9,153359741
2020,9,153366546
2020,9,153360992
2020,1,153367485
2020,9,153371907
2020,6,153370911
2020,6,153381266
2020,8,153378001
2020,6,153381964
2020,6,153381966
2020,9,153382052
2020,9,153391525
2020,6,153391603
2020,9,153392291
2020,3,153392513
2020,6,153389072
2020,3,153389072
2020,9,153392873
2020,9,153390110
2020,9,153390411
2020,9,153393792
2020,9,153390640
2020,9,153393969
2020,9,153983835
2020,5,153983859
2020,6,153986560
2020,9,153986572
2020,9,153986616
2020,9,153984160
2020,9,153986967
2020,9,153984774
2020,6,153987967
2020,6,153985410
2020,9,153985632
2020,6,153986015
2020,9,153988751
2020,6,153986126
2020,9,153989053
2020,1,153991382
2020,9,153989250
2020,6,153991804
2020,6,153991901
2020,9,153989841
2020,6,153992211
2020,6,153992416
2020,6,153992413
2020,9,153992584
2020,3,153992852
2020,9,153992944
2020,9,153993018
2020,9,153347857
2020,9,153348474
2020,9,153350486
