"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41932488,135709882,1,04-FEB-20,1,"N",51,5,27,"M",1,2,"R","","",27,0
2020,41937088,135712052,2,23-APR-20,2,"N",11,5,34,"M",1,3,"","","",34,0
2020,41932569,135710146,1,11-DEC-20,2,"N",44,5,29,"M",1,3,"","","",29,0
2020,41932723,135710762,1,13-DEC-20,3,"N",27,5,31,"F",1,2,"","","",31,0
2020,41937796,135717833,1,08-DEC-20,2,"N",51,5,22,"M",1,1,"R","","",22,0
2020,41933415,135717889,1,22-OCT-20,3,"N",16,5,19,"M",1,,"R","","",19,0
2020,41936904,135711396,1,26-JAN-21,2,"N",5,5,52,"M",1,3,"","","",52,0
2020,41933410,135717881,2,09-DEC-20,2,"N",16,5,28,"F",1,2,"","","",28,0
2020,41933411,135717881,1,09-DEC-20,1,"N",39,5,28,"M",1,3,"R","","",28,0
2020,41933435,135717944,1,12-JUN-20,1,"N",21,5,26,"M",1,3,"R","","",26,0
2020,41937833,135714473,1,19-FEB-21,2,"N",48,5,48,"M",1,3,"R","","",48,0
2020,41932283,135709238,1,23-OCT-20,1,"N",45,5,38,"F",2,3,"","","",38,0
2020,41932336,135711558,2,20-NOV-20,2,"N",23,5,30,"F",1,3,"","","",30,0
2020,41932337,135711558,1,20-NOV-20,2,"N",16,5,33,"M",1,2,"R","","",33,0
2020,41936990,135709545,1,07-JUN-20,2,"N",16,5,19,"F",1,2,"R","","",19,0
2020,41932653,135710489,1,23-NOV-20,2,"N",16,5,42,"F",1,2,"","","",42,0
2020,41932699,135710687,1,24-JUL-20,2,"N",45,5,29,"F",0,1,"N","","",29,0
2020,41933326,135717708,1,07-OCT-20,1,"N",16,5,21,"M",1,3,"R","","",21,0
2020,41937815,135714425,1,26-DEC-20,2,"N",5,5,36,"M",1,3,"R","","",36,0
2020,41933441,135717955,1,08-SEP-20,1,"N",20,5,31,"F",1,3,"R","","",31,0
2020,41936007,135699011,1,07-FEB-20,1,"N",16,5,24,"M",1,2,"R","","",24,0
2020,41931308,135706594,1,10-DEC-20,1,"N",49,5,29,"F",1,3,"R","","",29,0
2020,41931340,135706712,1,15-FEB-21,2,"N",41,5,42,"F",1,3,"N","","",42,0
2020,41931354,135706772,1,25-DEC-20,2,"N",16,5,23,"M",1,2,"R","","",23,0
2020,41568142,134563293,2,02-FEB-20,1,"N",27,5,19,"M",1,2,"R","","",19,0
2020,41569508,134563293,1,06-FEB-20,1,"N",27,5,20,"M",1,2,"R","","",20,0
2020,41568191,134563335,1,31-MAY-20,3,"N",5,5,12,"M",1,2,"R","R","",12,0
2020,41568188,134563335,2,31-MAY-20,1,"N",5,5,13,"M",1,2,"R","R","",13,0
2020,41569538,134563359,1,07-JUN-20,1,"N",23,5,35,"M",1,2,"R","","",35,0
2020,41569598,134563462,1,06-OCT-20,1,"N",27,5,20,"M",1,2,"N","","",20,0
2020,41568234,134563481,1,18-JUL-20,2,"N",5,5,26,"M",1,2,"R","","",26,0
2020,41568250,134563521,1,28-JUL-20,1,"N",23,5,48,"M",1,2,"R","","",48,0
2020,41568256,134563537,1,02-AUG-20,1,"N",5,5,35,"M",1,2,"R","","",35,0
2020,41568263,134566229,1,02-AUG-20,1,"N",23,5,23,"F",3,2,"R","","",23,0
2020,41568267,134563564,1,08-AUG-20,1,"N",45,5,24,"M",3,2,"R","","",24,0
2020,41568323,134563740,1,25-SEP-20,1,"N",23,5,28,"F",1,1,"R","","",28,0
2020,41569719,134563779,1,14-OCT-20,1,"N",23,5,43,"M",3,2,"R","","",43,0
2020,41568363,134566525,1,23-DEC-20,2,"N",16,5,51,"M",1,3,"","","",51,0
2020,41568391,134566604,1,14-DEC-20,1,"N",23,5,18,"F",3,2,"R","","",18,0
2020,40856808,132194749,1,04-NOV-20,2,"N",49,5,16,"M",1,3,"R","R","",16,0
2020,40856807,132194749,2,04-NOV-20,2,"N",49,5,16,"M",1,3,"R","R","",16,0
2020,40853992,132196876,1,20-NOV-20,1,"N",27,5,73,"M",1,3,"","","",73,0
2020,40854002,132196913,1,31-OCT-20,1,"N",39,5,52,"M",1,3,"R","","",52,0
2020,40856860,132194982,1,12-NOV-20,1,"N",48,5,30,"M",1,3,"R","","",30,0
2020,40856867,132195002,1,14-NOV-20,1,"N",51,5,38,"M",1,3,"R","","",38,0
2020,40856918,132197388,1,27-NOV-20,2,"N",23,5,14,"F",4,3,"","R","",14,0
2020,40854101,132197388,2,27-NOV-20,2,"N",23,5,15,"F",1,3,"","R","",15,0
2020,40854098,132197388,3,27-NOV-20,2,"N",23,5,14,"F",1,3,"","R","",14,0
2020,40854138,132195423,1,07-OCT-20,3,"N",27,5,25,"M",2,3,"R","","",25,0
2020,40854182,132195540,1,18-OCT-20,2,"N",23,5,43,"M",1,3,"R","","",43,0
2020,40854183,132195548,1,18-OCT-20,1,"N",49,5,38,"M",1,3,"R","","",38,0
2020,40854214,132195694,1,11-OCT-20,2,"N",23,5,27,"M",1,3,"R","","",27,0
2020,40857032,132195742,1,26-OCT-20,2,"N",2,5,29,"F",1,3,"N","","",29,0
2020,40480226,130864005,1,01-OCT-20,3,"N",14,5,25,"M",1,2,"R","","",25,0
2020,40480247,130868815,1,21-JUN-20,2,"N",45,5,16,"M",1,3,"R","R","",16,0
2020,40480255,130864043,1,18-OCT-20,1,"N",5,5,46,"F",1,3,"U","","",46,0
2020,40475299,130864041,3,28-SEP-20,2,"N",23,5,35,"M",1,2,"U","","",35,0
2020,39279486,126995514,1,12-JAN-20,3,"N",23,5,31,"M",1,1,"R","","",31,0
2020,39218806,126846770,1,11-FEB-20,1,"N",23,5,28,"M",1,1,"N","","",28,0
2020,39202679,126808602,1,11-JAN-20,1,"N",51,5,29,"M",1,3,"N","","",29,0
2020,39202692,126805541,1,19-JAN-20,1,"N",16,5,23,"M",8,3,"N","","",23,0
2020,39203650,126816573,1,02-JAN-20,1,"N",16,5,22,"M",1,2,"R","","",22,0
2020,39212538,126838903,1,30-JAN-20,2,"N",45,5,41,"M",1,2,"R","","",41,0
2020,39212662,126843300,2,05-FEB-20,1,"N",16,5,54,"F",1,3,"N","","",54,0
2020,39212661,126843300,1,05-FEB-20,1,"N",16,5,45,"M",1,3,"R","","",45,0
2020,39218506,126845380,1,27-JAN-20,1,"N",23,5,45,"M",1,3,"R","","",45,0
2020,39218645,126845760,1,18-FEB-20,1,"N",51,5,31,"M",2,3,"R","","",31,0
2020,39213558,126845816,1,02-FEB-20,3,"N",23,5,36,"M",1,3,"","","",36,0
2020,39218760,126846682,1,04-FEB-20,1,"N",16,5,20,"F",1,1,"R","","",20,0
2020,39218787,126851160,1,05-FEB-20,1,"N",63,5,28,"M",1,1,"","","",28,0
2020,39218785,126851164,2,06-FEB-20,1,"N",45,5,23,"M",1,3,"R","","",23,0
2020,39218792,126851164,1,06-FEB-20,1,"N",45,5,29,"M",1,3,"","","",29,0
2020,39218791,126851229,1,04-FEB-20,3,"N",23,5,35,"M",2,3,"","","",35,0
2020,39213696,126846809,1,06-FEB-20,1,"N",23,5,25,"M",2,2,"N","","",25,0
2020,39214981,126832136,1,11-JAN-20,3,"N",49,5,32,"F",1,2,"U","","",32,0
2020,39214982,126832136,2,12-JAN-20,3,"N",45,5,53,"M",2,2,"R","","",53,0
2020,39210316,126832136,3,12-JAN-20,3,"N",45,5,27,"M",1,2,"U","","",27,0
2020,39210477,126832466,1,22-FEB-20,1,"N",51,5,34,"M",3,3,"U","","",34,0
2020,39210696,126832990,1,09-FEB-20,2,"N",16,5,31,"F",0,3,"R","","",31,0
2020,39210821,126830120,1,02-FEB-20,1,"N",51,5,30,"M",1,2,"R","","",30,0
2020,39215876,126834032,1,08-FEB-20,1,"N",5,5,39,"M",1,3,"R","","",39,0
2020,39211321,126834637,1,21-JAN-20,2,"N",23,5,73,"M",1,2,"N","","",73,0
2020,39216082,126834674,1,11-JAN-20,3,"N",45,5,22,"M",1,2,"R","","",22,0
2020,39216098,126836278,1,10-JAN-20,2,"N",23,5,40,"M",1,2,"R","","",40,0
2020,39211359,126836287,1,19-FEB-20,2,"N",23,5,24,"F",1,2,"R","","",24,0
2020,39216259,126834938,1,01-FEB-20,1,"N",51,5,26,"M",1,3,"R","","",26,0
2020,39211491,126835006,1,05-FEB-20,1,"N",2,5,28,"F",1,2,"N","","",28,0
2020,39211568,126835121,1,17-FEB-20,1,"N",23,5,38,"M",1,2,"R","","",38,0
2020,39216895,126841277,1,19-JAN-20,1,"N",39,5,16,"M",1,3,"R","H","",16,0
2020,39216900,126841304,1,19-JAN-20,2,"N",21,5,42,"M",1,2,"R","","",42,0
2020,39212191,126841941,1,02-FEB-20,2,"N",23,5,26,"M",1,3,"R","","",26,0
2020,39212192,126841948,1,05-FEB-20,1,"N",23,5,32,"M",1,3,"R","","",32,0
2020,39217177,126838121,1,03-FEB-20,2,"N",47,5,59,"M",1,3,"R","","",59,0
