"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,153366107
2020,21,153360490
2020,21,153366216
2020,21,153366218
2020,21,153360564
2020,21,153360577
2020,21,153366376
2020,21,153366402
2020,21,153360714
2020,21,153360716
2020,21,153366730
2020,21,153366744
2020,21,153360922
2020,21,153366825
2020,21,153361033
2020,21,153361034
2020,21,153366945
2020,21,153361108
2020,21,153371934
2020,21,153371935
2020,21,153371936
2020,21,153368436
2020,21,153368446
2020,21,153368874
2020,21,153372743
2020,21,153348057
2020,21,153348066
2020,21,153353012
2020,21,153353000
2020,21,153353032
2020,21,153348188
2020,21,153353095
2020,21,153348623
2020,21,153349181
2020,21,153349184
2020,21,153349191
2020,21,153349307
2020,21,153349330
2020,21,153354205
2020,21,153349308
2020,21,153350363
2020,21,153355180
2020,21,153350466
2020,21,153350472
2020,21,153350519
2020,21,153350540
2020,21,153355375
2020,21,153350621
2020,21,153355481
2020,21,153350791
2020,21,153355584
2020,21,153355582
2020,21,153355600
2020,21,153350901
2020,22,153355812
2020,21,153351142
2020,21,153355883
2020,21,153356225
2020,21,153356232
2020,21,153356268
2020,21,153356030
2020,21,153356305
2020,21,153356059
2020,21,153356091
2020,21,153356132
2020,21,153356160
2020,21,153361244
2020,21,153361266
2020,21,153357057
2020,21,153357425
2020,21,153362366
2020,21,153357746
2020,21,153362768
2020,21,153362764
2020,21,153362795
2020,21,153357830
2020,21,153362833
2020,21,153357841
2020,21,153362857
2020,21,153357874
2020,21,153357873
2020,21,153357904
2020,21,153357912
2020,21,153362966
2020,21,153357926
2020,21,153357946
2020,21,153358226
2020,21,153358225
2020,21,153358472
2020,21,153363684
2020,21,153363810
2020,21,153363852
2020,21,153358642
2020,21,153358639
2020,21,153358726
2020,21,153358727
2020,21,153358825
2020,21,153364428
2020,21,153364697
2020,21,153364703
2020,21,153364764
2020,21,153359371
2020,21,153364829
2020,21,153364856
2020,21,153364894
2020,21,153364974
2020,21,153359550
2020,21,153365064
2020,21,153359651
2020,21,153365315
2020,21,153365422
2020,21,153365444
2020,21,153365457
2020,21,153365500
2020,21,153365521
2020,21,153359922
2020,21,153365540
2020,21,153365639
2020,21,153365614
2020,21,153360068
2020,21,153360149
2020,21,153360192
2020,21,153360221
2020,21,153366099
2020,21,153360474
2020,21,153366292
2020,21,153366317
2020,21,153360600
2020,21,153366331
2020,21,153360619
2020,21,153360617
2020,21,153366790
2020,21,153361036
2020,21,153366929
2020,21,153366949
2020,21,153366975
2020,21,153367062
2020,21,153367065
2020,21,153371228
2020,21,153367137
2020,21,153371756
2020,21,153371870
2020,21,153371911
2020,21,153370078
2020,21,153373901
2020,21,153370113
2020,21,153370216
2020,21,153370282
2020,21,153374048
2020,21,153370479
2020,21,153374433
2020,21,153370735
2020,21,153370736
2020,21,153370782
2020,21,153374641
2020,21,153374638
2020,21,153374811
2020,21,153376264
2020,21,153374957
2020,21,153375127
2020,21,153375203
2020,21,153376739
2020,21,153375324
2020,21,153376803
2020,21,153376820
2020,21,153375490
2020,21,153375465
2020,21,153377041
2020,21,153375524
2020,21,153377077
2020,21,153377142
2020,21,153375616
2020,21,153375601
2020,21,153377185
2020,21,153375689
2020,21,153375695
2020,21,153377266
2020,21,153377272
2020,21,153377275
2020,21,153377330
2020,21,153375783
2020,21,153375781
2020,21,153375830
2020,21,153375827
2020,21,153375829
2020,21,153377554
2020,21,153375955
2020,21,153375968
2020,21,153376017
2020,21,153377665
2020,21,153377706
2020,21,153376059
2020,21,153377742
2020,21,153377735
2020,21,153376141
2020,21,153376144
2020,21,153376134
2020,21,153377693
2020,21,153376170
2020,21,153377832
2020,21,153381196
2020,21,153381234
2020,21,153381267
2020,21,153381263
2020,21,153381262
2020,21,153377870
2020,21,153377918
2020,21,153377942
2020,21,153377935
2020,21,153381340
2020,21,153377961
2020,21,153377956
2020,21,153377996
2020,21,153377995
2020,21,153377993
2020,21,153378047
2020,21,153381397
2020,21,153381442
2020,21,153381398
2020,21,153378076
2020,21,153381458
2020,21,153381457
2020,21,153381504
2020,21,153381488
2020,21,153378118
2020,21,153381556
2020,21,153378135
2020,21,153381547
2020,21,153381543
2020,21,153378184
2020,21,153381623
2020,21,153381672
2020,21,153381695
2020,21,153381712
2020,21,153378376
2020,21,153378389
2020,21,153378390
2020,21,153381773
2020,21,153381802
2020,21,153378463
2020,21,153378448
2020,21,153378481
2020,21,153378522
2020,21,153378510
2020,21,153381960
2020,21,153381958
2020,21,153382005
2020,21,153378605
2020,21,153378598
2020,21,153381999
2020,21,153382013
2020,21,153378619
2020,21,153382025
2020,21,153382055
2020,21,153378663
2020,21,153382066
2020,21,153382050
2020,21,153378688
2020,21,153382083
2020,21,153382086
2020,21,153382112
2020,21,153378708
2020,21,153378769
2020,21,153378763
2020,21,153378754
2020,21,153378785
2020,21,153382173
2020,21,153378773
2020,21,153378802
2020,21,153378837
2020,21,153378822
2020,21,153382218
2020,21,153378913
2020,21,153378932
2020,21,153378939
2020,21,153319837
2020,21,153319863
2020,21,153319940
2020,21,153319962
2020,21,153319977
2020,21,153324000
2020,21,153320760
2020,21,153320761
2020,21,153320987
2020,21,153324490
2020,21,153324512
2020,21,153321090
2020,21,153324824
2020,21,153324904
2020,21,153326478
2020,21,153324949
2020,21,153325015
2020,21,153326829
2020,21,153326876
2020,21,153327184
2020,21,153327224
2020,21,153327354
2020,21,153326113
2020,21,153332158
2020,21,153328903
2020,21,153332228
2020,21,153332673
2020,21,153329405
2020,21,153329619
2020,21,153333017
2020,21,153329940
2020,21,153330028
2020,21,153333487
2020,21,153333726
2020,21,153330415
2020,21,153333825
2020,21,153330570
2020,21,153334070
2020,21,153334021
