"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,139250597,9,
2020,139246180,9,
2020,139251483,6,
2020,139294255,6,
2020,139266148,6,
2020,139272015,2,
2020,139278829,6,
2020,139279265,1,
2020,139292242,1,
2020,139292348,1,
2020,139309469,1,
2020,141293049,9,
2020,141298040,9,
2020,141298034,9,
2020,141293509,9,
2020,141293502,9,
2020,141293515,9,
2020,141298162,10,
2020,141298802,1,
2020,141298802,6,
2020,141294502,1,
2020,141299031,9,
2020,141294948,1,
2020,141299329,9,
2020,141294996,6,
2020,141299369,1,
2020,141299377,1,
2020,141295047,9,
2020,141295098,9,
2020,141299439,1,
2020,141295213,2,
2020,141299510,2,
2020,141295237,9,
2020,141295280,1,
2020,141295352,1,
2020,141299672,1,
2020,141295388,10,
2020,141299718,6,
2020,141299786,1,
2020,141299784,1,
2020,141299787,1,
2020,141295501,9,
2020,141299808,9,
2020,141299807,17,
2020,141299832,12,1
2020,141295559,9,
2020,141299867,9,
2020,141299868,9,
2020,141299904,9,
2020,141299909,1,
2020,141299948,1,
2020,141295682,10,
2020,141295717,6,
2020,141300116,1,
2020,141295829,6,
2020,141300212,1,
2020,141300255,9,
2020,141300296,6,
2020,141296008,9,
2020,141300384,9,
2020,141296067,1,
2020,141300408,9,
2020,141296173,10,
2020,141296176,1,
2020,141296300,10,
2020,141300633,10,
2020,141296345,1,
2020,141300679,10,
2020,141300688,9,
2020,141300690,9,
2020,141300715,2,
2020,141296439,1,
2020,141300774,10,
2020,141296539,6,
2020,141300834,6,
2020,141296582,1,
2020,141300885,9,
2020,141300955,9,
2020,141300994,1,
2020,141296683,1,
2020,141296697,9,
2020,141296746,6,
2020,141296751,10,
2020,141296812,6,
2020,141296871,6,
2020,139242718,6,
2020,139251184,1,
2020,139246543,1,
2020,139247184,1,
2020,139269214,2,
2020,139283694,1,
2020,139298038,10,
2020,139279604,9,
2020,139250727,9,
2020,139250751,9,
2020,139251451,1,
2020,139251674,6,
2020,139276076,6,
2020,139276189,9,
2020,139281662,6,
2020,139282240,9,
2020,139235961,9,
2020,139248787,1,
2020,139269225,9,
2020,139275427,9,
2020,139277356,10,
2020,139277683,9,
2020,139281973,6,
2020,139294704,1,
2020,139340352,2,
2020,139340350,2,
2020,139282057,6,
2020,139246830,1,
2020,139251759,10,
2020,139290615,6,
2020,139275949,9,
2020,139279499,1,
2020,139276526,1,
2020,139280265,1,
2020,139277189,9,
2020,139280892,6,
2020,139291451,1,
2020,139294538,6,
2020,139295021,10,
2020,139302200,1,
2020,139305397,1,
2020,139305399,1,
2020,139305654,6,
2020,139308132,6,
2020,139306169,1,
2020,139308869,6,
2020,139306605,9,
2020,139306732,1,
2020,139306856,9,
2020,139307065,10,
2020,139310025,1,
2020,139312937,10,
2020,139237617,6,
2020,139245614,6,
2020,139251239,9,
2020,139251591,1,
2020,139251783,1,
2020,139247048,10,
2020,139240836,10,
2020,139243487,6,
2020,139243559,9,
2020,139281304,10,
2020,139245404,2,
2020,139245807,6,
2020,139251165,1,
2020,139251566,1,
2020,139305860,6,
2020,139306203,1,
2020,139307793,6,
2020,139307792,6,
2020,139272974,1,
2020,139273145,6,
2020,139277245,9,
2020,139339562,2,
2020,139331913,9,
2020,139340741,1,
2020,139403466,8,
2020,139403468,8,
2020,139340175,9,
2020,139404291,6,
2020,139404665,1,
2020,139454601,10,
2020,139407168,6,
2020,139414142,1,
2020,139456078,10,
2020,139445993,10,
2020,139453872,1,
2020,139448795,9,
2020,139453961,9,
2020,139453956,9,
