"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,3,163448276
2020,4,163445495
2020,4,163445507
2020,4,163448792
2020,4,163445950
2020,4,163449223
2020,4,163449241
2020,4,163449308
2020,4,163451427
2020,3,163451757
2020,4,163449771
2020,4,163449776
2020,4,163449872
2020,4,163449868
2020,4,163449870
2020,4,163451832
2020,4,163456340
2020,4,163456342
2020,4,163456707
2020,3,163453412
2020,4,163456827
2020,4,163456893
2020,4,163453763
2020,4,163457162
2020,4,163453768
2020,4,163453916
2020,1,163453990
2020,4,163454025
2020,2,163457489
2020,2,163457490
2020,4,163457586
2020,4,163454148
2020,2,163454177
2020,4,163457986
2020,4,163454473
2020,4,163454540
2020,4,163458410
2020,4,163458439
2020,4,163458579
2020,4,163458580
2020,4,163458578
2020,2,163458615
2020,2,163454893
2020,4,163455048
2020,4,163455064
2020,4,163459528
2020,4,163455735
2020,4,163456041
2020,4,163456048
2020,4,163460676
2020,4,163460674
2020,4,163461507
2020,4,163460773
2020,4,163461596
2020,4,163461595
2020,4,163460894
2020,4,163460925
2020,4,162037304
2020,1,162041374
2020,3,162041374
2020,4,162041398
2020,3,162037640
2020,4,162037672
2020,4,162041607
2020,3,162042779
2020,4,162038884
2020,4,162042880
2020,3,162042925
2020,4,162038988
2020,2,162039104
2020,1,162039270
2020,4,162039296
2020,4,162039380
2020,4,162043588
2020,4,162039425
2020,4,162043601
2020,4,162043683
2020,4,162039571
2020,1,162039589
2020,4,162039629
2020,4,162043916
2020,4,162039753
2020,4,162039754
2020,4,162043939
2020,4,162039830
2020,3,162044034
2020,4,162044056
2020,4,162044060
2020,4,162044063
2020,4,162044273
2020,4,162041166
2020,4,162046510
2020,1,162045861
2020,4,162047215
2020,4,162047217
2020,4,162047222
2020,4,162051535
2020,4,162035588
2020,4,162035578
2020,4,162036684
2020,4,162036712
2020,4,162035603
2020,4,162035601
2020,4,162041189
2020,4,162037307
2020,4,162041345
2020,4,162041474
2020,1,162037623
2020,1,162041561
2020,4,162041669
2020,4,162037967
2020,4,162041963
2020,4,162041974
2020,4,162041981
2020,3,162038584
2020,4,162042664
2020,4,162042681
2020,1,162038774
2020,4,162042792
2020,4,162042871
2020,4,162039040
2020,1,162039716
2020,4,162043868
2020,3,162043902
2020,4,162044162
2020,3,162039938
2020,4,162039934
2020,4,162044552
2020,4,162044724
2020,4,162044773
2020,1,162044793
2020,4,162044873
2020,4,162044968
2020,4,162044974
2020,4,162041133
2020,4,162045738
2020,4,162046426
2020,4,162046420
2020,4,162045893
2020,4,162046053
2020,4,162046109
2020,4,162047240
2020,4,162047254
2020,4,162047258
2020,4,162031107
2020,4,162035808
2020,4,162037153
2020,4,162037152
2020,4,162037160
2020,4,162037170
2020,4,162036137
2020,4,162037204
2020,1,162036169
2020,4,162037246
2020,4,162037345
2020,1,162041350
2020,3,162037440
2020,3,162037439
2020,3,162037462
2020,3,162037460
2020,4,162041433
2020,4,162037538
2020,1,162041803
2020,3,162041803
2020,1,162037860
2020,3,162037860
2020,4,162037920
2020,4,162037925
2020,4,162041907
2020,4,162037974
2020,4,162038310
2020,4,162038334
2020,4,162042796
2020,4,162043668
2020,4,162039504
2020,4,162039531
2020,4,162043716
2020,4,162043727
2020,3,162043744
2020,3,162039586
2020,4,162039604
2020,4,162039605
2020,3,162039728
2020,3,162039760
2020,4,162044007
2020,4,162044006
2020,4,162039838
2020,4,162044077
2020,4,162044107
2020,4,162044105
2020,4,162039898
2020,4,162044148
2020,4,162044386
2020,4,162040288
2020,4,162040337
2020,4,162040352
2020,3,162044641
2020,4,162040407
2020,4,162044721
2020,4,162040555
2020,4,162040562
2020,4,162040567
2020,4,162040566
2020,4,162044792
2020,4,162045293
2020,4,162045353
2020,4,162041060
2020,4,162041059
2020,4,162045356
2020,4,162045784
2020,4,162046502
2020,4,162046126
2020,3,162036288
2020,4,162036341
2020,4,162035280
2020,4,162035300
2020,3,162036643
2020,2,162036652
2020,1,162036663
2020,4,162036679
2020,4,162035557
2020,4,162036676
2020,4,162035844
2020,4,162037206
2020,4,162037281
2020,4,162037280
2020,4,162037305
2020,4,162037335
2020,4,162041292
2020,4,162041320
2020,4,162037417
2020,4,162041372
2020,4,162041458
2020,4,162037669
2020,4,162041793
2020,1,162041808
2020,3,162041808
2020,4,162037884
2020,4,162037889
2020,3,162041924
2020,3,162041922
2020,4,162038676
2020,4,162038710
2020,4,162038744
2020,4,162042731
2020,4,162042743
2020,4,162038802
2020,4,162038801
2020,4,162042868
2020,4,162042869
2020,4,162042879
2020,4,162038990
2020,4,162039498
2020,4,162043693
2020,3,162039612
2020,4,162039651
2020,3,162039668
2020,3,162043882
2020,3,162039733
2020,4,162043963
2020,4,162043981
2020,4,162039903
2020,4,162039983
2020,4,162044232
2020,4,162040039
2020,4,162040037
2020,1,162044390
2020,4,162044412
2020,4,162040413
2020,4,162040545
2020,4,162040547
2020,4,162040571
2020,4,162040577
2020,4,162040635
2020,4,162044895
2020,4,162044896
2020,4,162040680
2020,4,162044908
2020,4,162040689
2020,4,162040693
2020,4,162044920
2020,4,162040707
2020,4,162040723
2020,4,162040730
2020,4,162040728
2020,4,162040726
2020,1,162044963
2020,4,162040768
2020,4,162040770
2020,4,162044977
2020,4,162040778
2020,4,162040782
2020,4,162044984
2020,4,162040789
2020,4,162045002
2020,4,163445349
2020,4,163448261
2020,4,163445493
2020,4,163448407
2020,4,163448404
2020,4,163448938
2020,4,163451368
2020,4,163449383
2020,4,163451703
2020,4,163451705
2020,4,163451704
2020,4,163449808
2020,4,163451783
2020,4,163449851
2020,4,163451836
2020,4,163451840
2020,1,163451842
2020,4,163456198
2020,4,163456197
2020,4,163453094
2020,4,163456402
2020,3,163453177
2020,3,163456511
2020,4,163456604
2020,4,163456602
2020,4,163456716
2020,4,163456907
2020,4,163457329
2020,4,163457331
2020,4,163457625
2020,4,163457790
2020,4,163457839
2020,4,163454375
2020,4,163454412
2020,4,163458058
2020,1,163458075
2020,4,163454483
2020,4,163458224
2020,4,163458278
2020,4,163458280
2020,4,163458291
2020,4,163454686
2020,4,163458371
2020,4,163458533
2020,4,163454852
2020,4,163458662
2020,4,163458663
2020,4,163458664
2020,4,163458930
2020,4,163459039
2020,1,163459341
2020,1,163455578
2020,1,163459549
2020,4,163459661
2020,4,163459706
2020,4,163459802
2020,4,163459831
2020,4,163460210
2020,4,163460494
2020,4,163460525
2020,4,163461377
2020,4,163461558
2020,4,163460723
2020,4,163460892
2020,4,163460909
2020,4,163461670
2020,4,163461685
2020,4,163448864
2020,4,163448856
2020,4,163448976
2020,4,163451267
2020,4,163451322
2020,4,163451397
2020,4,163451502
2020,4,163449732
2020,4,163451739
2020,4,163449848
2020,4,163449888
2020,4,163449892
2020,1,163451835
2020,4,163447997
2020,4,163448024
2020,4,163448023
2020,4,163448021
2020,4,163448032
2020,4,163448038
2020,4,163448008
2020,4,163448018
2020,1,163448014
2020,1,163448006
2020,4,163448012
2020,4,163448017
2020,2,163448069
2020,4,163448070
2020,4,163448063
2020,4,163448068
2020,4,163448082
2020,4,163448264
2020,4,163448282
2020,4,163448386
2020,4,163448396
2020,4,163445530
2020,4,163445531
2020,4,163451541
2020,4,163449861
2020,4,163451803
2020,4,163456366
2020,4,163453097
2020,4,163456389
2020,1,163456662
2020,4,163456704
2020,4,163456752
2020,4,163453472
2020,4,163456890
2020,4,163453790
2020,4,163453789
2020,4,163453812
2020,4,163457272
2020,4,163457628
2020,4,163457627
2020,4,163454373
2020,4,163457917
2020,4,163454426
2020,4,163454552
2020,1,163458205
2020,4,163458251
2020,4,163454760
2020,4,163458469
2020,4,163454791
2020,4,163458522
2020,4,163458700
2020,3,163455007
2020,3,163455008
2020,3,163455009
2020,3,163458761
2020,3,163458818
2020,3,163455061
2020,3,163455068
2020,4,163458943
2020,4,163458987
2020,4,163459275
2020,4,163459277
2020,4,163455496
2020,4,163459626
2020,4,163460206
2020,4,163461402
2020,4,163461584
2020,4,163460879
2020,4,163447753
2020,4,163448081
2020,4,163445209
2020,1,163448272
2020,4,163445486
2020,4,163448416
2020,1,163448417
2020,4,163448977
2020,4,163446082
2020,4,163449248
2020,4,163451311
2020,4,163449793
2020,4,163449847
2020,4,163449867
2020,4,163451855
2020,4,163456190
2020,4,163456579
2020,4,163456578
2020,4,163456577
2020,3,163456595
2020,4,163456836
2020,4,163456864
2020,4,163457384
2020,4,163457461
2020,4,163457578
2020,4,163457920
2020,4,163457991
2020,4,163458334
2020,4,163458348
2020,4,163454782
2020,4,163458460
2020,4,163458456
2020,4,163458459
2020,4,163458641
2020,4,163454913
2020,4,163458790
2020,4,163458883
2020,1,163458850
2020,1,163458851
2020,4,163455147
2020,4,163459121
2020,4,163459227
2020,1,163456033
2020,3,163456033
2020,4,163460489
2020,4,163461387
2020,4,163461409
2020,4,163460747
2020,4,163460748
2020,4,163460851
2020,4,163461677
2020,4,163448222
2020,4,163448408
2020,4,163449212
2020,4,163449214
2020,4,163449215
2020,4,163449309
2020,4,163451410
2020,4,163449459
2020,4,163451760
2020,4,163449782
2020,4,163449791
2020,4,163451789
2020,4,163451791
2020,4,163450697
2020,4,163456436
2020,4,163456627
2020,4,163453390
2020,4,163453391
2020,4,163456805
2020,4,163453420
2020,4,163457063
2020,4,163453665
2020,3,163457188
2020,3,163457190
2020,4,163457314
2020,4,163457469
2020,4,163454015
2020,3,163454016
2020,4,163454061
2020,4,163454175
2020,4,163457685
2020,4,163454277
2020,4,163458243
2020,4,163458246
2020,4,163454636
2020,1,163458305
2020,4,163454971
2020,4,163458766
2020,4,163454946
2020,4,163458775
2020,4,163458777
2020,4,163455684
2020,4,163455748
2020,4,163455926
2020,4,163461563
2020,4,163460798
2020,4,163460873
2020,4,162034896
2020,4,162036359
2020,4,162035174
2020,4,162035173
2020,4,162035177
2020,4,162035283
2020,3,162036610
2020,3,162036609
2020,3,162036607
2020,4,162035508
2020,4,162037158
2020,4,162037178
2020,4,162036141
2020,4,162041201
2020,4,162041284
2020,4,162041352
2020,4,162041370
2020,4,162037493
2020,4,162037535
2020,4,162041709
2020,4,162041726
2020,4,162041858
2020,4,162042336
2020,4,162042335
2020,4,162038743
2020,4,162042802
2020,4,162039150
2020,4,162043736
2020,1,162043749
2020,4,162039588
2020,4,162043784
2020,4,162039777
2020,4,162039800
2020,4,162039799
2020,1,162044033
2020,3,162044047
2020,4,162044069
2020,4,162044184
2020,4,162039974
2020,4,162040016
2020,4,162040025
2020,4,162044423
2020,4,162040200
2020,4,162040795
2020,4,162045050
2020,4,162045400
2020,4,162046226
2020,4,162046267
2020,4,162046389
2020,4,162046386
2020,4,162046418
2020,4,162045753
2020,4,162045751
2020,3,162045835
2020,4,162046565
2020,4,162047272
2020,4,163461432
2020,4,163461541
2020,4,163461585
2020,4,163461633
2020,4,163460866
2020,4,163460881
2020,4,163451200
2020,1,163449350
2020,4,163456185
2020,4,163456187
2020,3,163456412
2020,3,163456414
2020,4,163453320
2020,4,163456717
2020,4,163453392
2020,4,163453692
2020,4,163453839
2020,4,163457396
2020,4,163457802
2020,4,163457876
2020,4,163458003
2020,4,163454518
2020,4,163458109
2020,4,163458200
2020,4,163454685
2020,4,163454808
2020,4,163458544
2020,4,163454879
2020,4,163458746
2020,4,163455517
2020,4,163459719
2020,4,163460179
2020,4,163460180
2020,4,163460238
2020,4,163456112
2020,4,163456111
2020,4,163460452
2020,4,163460453
2020,4,163461416
2020,4,163460611
2020,4,163461447
2020,4,163460744
2020,4,163461567
2020,4,163460869
2020,4,163460918
2020,4,163460932
2020,3,162036496
2020,4,162036559
2020,4,162035534
2020,4,162036662
2020,4,162036687
2020,4,162036721
2020,4,162036739
2020,4,162035665
2020,4,162035705
2020,4,162041666
2020,4,162037847
2020,4,162041796
2020,4,162041797
2020,4,162041795
2020,4,162041805
2020,4,162037930
2020,4,162041925
2020,4,162042761
2020,4,162039076
2020,3,162043570
2020,4,162043572
2020,1,162039410
2020,4,162043626
2020,4,162039442
2020,1,162043647
2020,1,162043649
2020,1,162039480
2020,1,162039478
2020,4,162039520
2020,4,162043721
2020,4,162039566
2020,4,162039583
2020,4,162043782
2020,3,162039635
2020,3,162039731
2020,1,162044156
2020,1,162039999
2020,4,162040356
2020,4,162040357
2020,3,162044667
2020,4,162044880
2020,4,162040664
2020,3,162040669
2020,4,162040681
2020,4,162040682
2020,4,162040711
2020,4,162040736
2020,4,162044957
2020,4,162044979
2020,4,162040780
2020,4,162040779
2020,4,162045001
2020,4,162045144
2020,4,162045686
2020,4,162045759
2020,4,162046499
2020,4,162046019
2020,3,162046073
2020,4,162046092
2020,4,162047227
2020,4,162051507
2020,4,162047263
2020,4,162034776
2020,3,162034834
2020,3,162034833
2020,1,162031117
2020,4,162036427
2020,2,162035258
2020,2,162035265
2020,4,162035286
2020,4,162036457
2020,4,162035302
2020,4,162035296
2020,4,162035335
2020,4,162036639
2020,4,162036972
2020,4,162037180
2020,4,162037179
2020,4,162037302
2020,3,162041354
2020,3,162041358
2020,4,162041373
2020,4,162041400
2020,4,162041429
2020,4,162041583
2020,4,162037762
2020,1,162041730
2020,4,162041746
2020,1,162037824
2020,4,162041762
2020,4,162041769
2020,4,162037906
2020,4,162042001
2020,4,162042369
2020,4,162038803
2020,3,162038901
2020,3,162038907
2020,4,162038902
2020,4,162042919
2020,4,162043430
2020,3,162043504
2020,3,162043510
2020,3,162043525
2020,3,162043527
2020,3,162043529
2020,3,162039360
2020,4,162043687
2020,3,162039591
2020,4,162039643
2020,4,162043919
2020,4,162045489
2020,4,162046384
2020,4,162045727
2020,4,162046511
