year,state,STATE,county,County,fips,GEOID,total_pop,tHH,tfHH_18,tfHH_65,HH_inc,clf,clf_ue
2019,AL,Alabama,MARION ,Marion ,1093,05000US01093,29866,11997,3719,2232,35930,12535,684
,,,,,,,,,,,,,
2019,AL,Alabama,MARSHALL ,Marshall ,1095,05000US01095,95643,34883,10872,6498,45983,40942,1749
,,,,,,,,,,,,,
2019,AL,Alabama,MOBILE ,Mobile ,1097,05000US01097,414114,156251,47458,28168,47583,185327,10808
,,,,,,,,,,,,,
2019,AL,Alabama,MONROE ,Monroe ,1099,05000US01099,21270,8166,2155,1614,30441,7595,1172
,,,,,,,,,,,,,
2019,AL,Alabama,MONTGOMERY ,Montgomery ,1101,05000US01101,226941,89527,27198,13538,50124,108132,7119
,,,,,,,,,,,,,
2019,AL,Alabama,MORGAN ,Morgan ,1103,05000US01103,119213,45918,13981,8239,52156,54681,2778
,,,,,,,,,,,,,
2019,AL,Alabama,PERRY ,Perry ,1105,05000US01105,9293,3070,703,542,23447,2861,290
,,,,,,,,,,,,,
2019,AL,Alabama,PICKENS ,Pickens ,1107,05000US01107,20243,7637,2151,1473,39848,7819,802
,,,,,,,,,,,,,
2019,AL,Alabama,PIKE ,Pike ,1109,05000US01109,33333,11601,2582,1894,37446,14907,915
,,,,,,,,,,,,,
2019,AL,Alabama,RANDOLPH ,Randolph ,1111,05000US01111,22647,8702,2172,1892,43395,9144,380
,,,,,,,,,,,,,
2019,AL,Alabama,RUSSELL ,Russell ,1113,05000US01113,57952,23262,7112,3388,42443,25241,1625
,,,,,,,,,,,,,
2019,AL,Alabama,ST. CLAIR ,St. Clair ,1115,05000US01115,87989,32036,9989,6948,58308,40678,2171
,,,,,,,,,,,,,
2019,AL,Alabama,SHELBY ,Shelby ,1117,05000US01117,213432,79630,26315,13856,77799,110852,4013
,,,,,,,,,,,,,
2019,AL,Alabama,SUMTER ,Sumter ,1119,05000US01119,12797,5202,1211,759,24320,4753,462
,,,,,,,,,,,,,
2019,AL,Alabama,TALLADEGA ,Talladega ,1121,05000US01121,80387,31395,9402,5773,41325,34059,2893
,,,,,,,,,,,,,
2019,AL,Alabama,TALLAPOOSA ,Tallapoosa ,1123,05000US01123,40541,16205,4293,3535,45828,16775,1656
,,,,,,,,,,,,,
2019,AL,Alabama,TUSCALOOSA ,Tuscaloosa ,1125,05000US01125,207305,72461,22375,11359,53326,99449,5782
,,,,,,,,,,,,,
2019,AL,Alabama,WALKER ,Walker ,1127,05000US01127,64110,25019,7193,5255,43629,26643,2229
,,,,,,,,,,,,,
2019,AL,Alabama,WASHINGTON ,Washington ,1129,05000US01129,16541,5990,1735,1410,41370,6019,437
,,,,,,,,,,,,,
2019,AL,Alabama,WILCOX ,Wilcox ,1131,05000US01131,10681,3854,893,758,31014,3536,541
,,,,,,,,,,,,,
2019,AL,Alabama,WINSTON ,Winston ,1133,05000US01133,23784,9592,2429,1976,35788,9837,717
,,,,,,,,,,,,,
2019,AK,Alaska,ALEUTIANS EAST BOROUGH,Aleutians East Borough,2013,05000US02013,3385,890,293,135,69250,2399,93
,,,,,,,,,,,,,
2019,AK,Alaska,ALEUTIANS WEST CENSUS AREA,Aleutians West Census Area,2016,05000US02016,5698,1187,435,111,87466,3912,82
,,,,,,,,,,,,,
2019,AK,Alaska,ANCHORAGE MUNICIPALITY,Anchorage Municipality,2020,05000US02020,293531,106567,35838,13218,84928,156939,8918
,,,,,,,,,,,,,
2019,AK,Alaska,BETHEL CENSUS AREA,Bethel Census Area,2050,05000US02050,18134,4489,2420,809,53553,7655,1412
,,,,,,,,,,,,,
2019,AK,Alaska,BRISTOL BAY BOROUGH,Bristol Bay Borough,2060,05000US02060,875,314,88,33,79808,518,50
,,,,,,,,,,,,,
2019,AK,Alaska,DENALI BOROUGH,Denali Borough,2068,05000US02068,2246,613,122,84,81719,1531,23
,,,,,,,,,,,,,
2019,AK,Alaska,DILLINGHAM CENSUS AREA,Dillingham Census Area,2070,05000US02070,4961,1427,725,214,56898,2305,275
,,,,,,,,,,,,,
2019,AK,Alaska,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,2090,05000US02090,99072,36188,12115,4274,76992,48728,3190
,,,,,,,,,,,,,
2019,AK,Alaska,HAINES BOROUGH,Haines Borough,2100,05000US02100,2518,1007,268,206,58059,1240,59
,,,,,,,,,,,,,
2019,AK,Alaska,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,2105,05000US02105,2139,791,147,208,59803,1153,123
,,,,,,,,,,,,,
