combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,property_rel,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult,property_crime,person_crime,society_crime
ADAIR-KY-2019-2,1,5,1,0,NA,5,1,0,8,3,0,1,5,1,5,3,5,9
ADAIR-KY-2019-3,0,3,0,0,NA,4,1,0,13,6,0,0,5,0,5,2,3,15
ADAIR-KY-2019-4,1,4,2,0,NA,6,5,0,18,5,0,0,7,0,7,9,6,8
ADAIR-KY-2019-5,0,0,0,0,NA,0,4,0,6,6,0,0,4,0,4,4,0,8
ADAIR-KY-2019-6,0,1,0,0,NA,3,2,0,15,4,0,0,2,0,2,7,1,13
ADAIR-KY-2019-7,0,0,0,0,NA,6,0,0,10,6,0,0,6,0,6,7,1,12
ADAIR-KY-2019-8,1,13,1,5,NA,30,6,0,49,14,0,12,12,12,12,29,13,21
ADAIR-KY-2019-9,0,0,0,0,NA,2,1,0,5,2,0,0,3,0,3,5,0,5
ADAIR-OK-2019-1,13,21,11,0,NA,24,30,2,65,11,2,2,54,2,54,31,31,33
ADAIR-OK-2019-10,11,14,9,0,NA,19,56,3,53,16,3,8,70,8,70,60,29,12
ADAIR-OK-2019-11,15,20,27,0,NA,37,47,4,62,35,4,8,80,8,80,55,39,27
ADAIR-OK-2019-12,9,11,11,0,NA,25,15,4,34,18,4,4,40,4,40,35,19,16
ADAIR-OK-2019-2,4,5,7,0,NA,21,17,1,37,17,1,1,38,1,38,36,12,23
ADAIR-OK-2019-3,15,14,16,0,NA,31,26,3,58,25,3,1,59,1,59,45,22,39
ADAIR-OK-2019-4,15,18,17,0,NA,24,37,6,46,30,6,3,64,3,64,47,33,16
ADAIR-OK-2019-5,10,13,14,0,NA,34,52,6,48,26,6,1,91,1,91,74,27,18
ADAIR-OK-2019-6,10,13,10,0,NA,25,39,4,58,28,4,4,63,4,63,66,24,17
ADAIR-OK-2019-7,15,17,29,0,NA,37,41,5,68,30,5,6,77,6,77,62,46,14
ADAIR-OK-2019-8,4,10,20,0,NA,23,42,4,49,26,4,4,65,4,65,60,28,21
ADAIR-OK-2019-9,7,16,11,0,NA,34,40,6,51,31,6,7,73,7,73,76,26,10
ADAMS-CO-2019-1,209,213,214,9,NA,1167,1027,87,1708,951,87,158,1967,158,1967,2521,411,833
ADAMS-CO-2019-10,269,298,285,3,NA,1117,1076,228,1648,896,228,393,1930,393,1930,2443,518,706
ADAMS-CO-2019-11,269,311,275,5,NA,1028,1035,29,1503,707,29,275,1751,275,1751,2040,593,612
ADAMS-CO-2019-12,238,243,248,9,NA,1136,902,40,1443,649,40,158,1856,158,1856,2220,465,550
ADAMS-CO-2019-2,205,242,226,15,NA,954,904,61,1428,771,61,173,1651,173,1651,2024,470,664
ADAMS-CO-2019-3,274,314,243,0,NA,1146,1076,458,1682,1253,458,181,1990,181,1990,2539,546,934
ADAMS-CO-2019-4,308,317,325,1,NA,1146,916,73,1581,776,73,194,1917,194,1917,2192,593,637
ADAMS-CO-2019-5,298,280,298,7,NA,1256,1023,65,1625,803,65,235,1989,235,1989,2418,558,663
ADAMS-CO-2019-6,234,206,208,9,NA,1068,970,37,1430,600,37,117,1889,117,1889,2165,424,495
ADAMS-CO-2019-7,343,322,309,6,NA,1231,1024,34,1524,781,34,179,2054,179,2054,2393,550,566
ADAMS-CO-2019-8,306,271,296,0,NA,1266,1069,120,1670,648,120,173,2209,173,2209,2559,560,550
ADAMS-CO-2019-9,288,252,326,13,NA,1213,1086,44,1495,758,44,193,2075,193,2075,2327,567,712
ADAMS-IA-2019-1,1,0,0,0,NA,1,0,0,2,1,0,0,1,0,1,0,1,2
ADAMS-IA-2019-10,2,2,3,0,NA,6,14,0,25,21,0,3,15,3,15,13,8,26
ADAMS-IA-2019-11,0,0,0,0,NA,0,1,0,1,0,0,0,1,0,1,2,0,0
ADAMS-IA-2019-12,1,1,1,0,NA,4,1,0,7,0,0,0,5,0,5,5,1,5
ADAMS-IA-2019-2,0,0,0,0,NA,0,0,0,1,2,0,0,0,0,0,0,0,3
ADAMS-IA-2019-3,3,0,0,0,NA,2,2,0,5,8,0,0,4,0,4,1,4,8
ADAMS-IA-2019-4,0,0,0,0,NA,1,0,0,2,3,0,0,1,0,1,1,0,4
ADAMS-IA-2019-5,2,1,4,0,NA,7,1,0,10,3,0,0,8,0,8,1,6,7
ADAMS-IA-2019-6,0,0,6,0,NA,4,4,0,8,2,0,0,8,0,8,2,6,4
ADAMS-IA-2019-7,3,2,2,0,NA,1,6,0,6,5,0,2,5,2,5,3,4,6
ADAMS-IA-2019-8,1,1,1,0,NA,2,2,0,6,6,0,0,4,0,4,5,1,7
ADAMS-IA-2019-9,0,0,0,0,NA,4,1,0,4,0,0,0,5,0,5,5,0,2
ADAMS-ID-2019-1,1,0,1,0,NA,8,1,0,11,11,0,0,9,0,9,5,2,16
ADAMS-ID-2019-10,2,1,3,0,NA,1,3,1,5,4,1,2,3,2,3,8,4,1
ADAMS-ID-2019-11,1,1,7,0,NA,4,5,0,6,3,0,0,9,0,9,3,7,1
ADAMS-ID-2019-12,1,0,1,0,NA,18,4,0,35,1,0,0,22,0,22,19,2,22
ADAMS-ID-2019-2,2,1,2,0,NA,1,6,0,3,4,0,0,7,0,7,2,5,1
ADAMS-ID-2019-3,1,0,0,0,NA,2,2,1,2,2,1,0,5,0,5,6,1,1
ADAMS-ID-2019-4,7,7,6,0,NA,3,6,0,5,5,0,3,6,3,6,5,7,2
ADAMS-ID-2019-5,4,4,5,0,NA,4,3,0,8,7,0,2,5,2,5,3,5,9
ADAMS-ID-2019-6,3,1,4,0,NA,11,8,0,13,5,0,0,19,0,19,15,9,2
ADAMS-ID-2019-7,2,2,2,0,NA,6,4,0,10,1,0,0,10,0,10,10,2,6
ADAMS-ID-2019-8,1,1,1,0,NA,3,4,0,0,3,0,0,7,0,7,7,1,0
ADAMS-ID-2019-9,1,0,0,0,NA,0,1,1,2,2,1,0,2,0,2,3,1,2
ADAMS-ND-2019-1,0,0,0,0,NA,0,1,0,3,0,0,0,1,0,1,0,1,2
ADAMS-ND-2019-10,0,1,0,0,NA,3,0,0,2,0,0,0,3,0,3,2,1,0
ADAMS-ND-2019-11,0,0,0,0,NA,1,3,0,0,0,0,0,4,0,4,4,0,0
ADAMS-ND-2019-12,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
ADAMS-ND-2019-2,2,2,3,0,NA,1,2,0,7,0,0,2,1,2,1,0,3,4
ADAMS-ND-2019-3,0,0,0,0,NA,0,1,0,1,0,0,0,1,0,1,1,0,0
ADAMS-ND-2019-4,0,1,0,0,NA,0,1,0,0,0,0,1,0,1,0,0,1,0
ADAMS-ND-2019-5,0,0,0,0,NA,1,3,0,4,1,0,0,4,0,4,4,0,1
ADAMS-ND-2019-6,5,9,9,0,NA,17,4,0,17,8,0,2,19,2,19,4,17,4
ADAMS-ND-2019-7,0,0,0,0,NA,1,2,0,0,3,0,0,3,0,3,5,0,0
ADAMS-ND-2019-8,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
ADAMS-ND-2019-9,1,1,1,0,NA,3,0,0,1,2,0,0,3,0,3,2,3,0
